,Alberio,King Kulafu,Justrollingaround,Charlotte Caslick,Arena Queen,Delight To Watch,Roll Play,Bated Breath
06-01-2023 13:22:45.506623,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:46.991665,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:48.325984,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:49.487631,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:50.692936,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:51.917359,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:53.158883,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:54.411797,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:55.609306,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
06-01-2023 13:22:56.818816,"(1.65, 99999, 99990)","(41.0, 130.0, 82.0)","(81.0, 220.0, 142.5)","(19.0, 50.0, 44.0)","(6.5, 12.5, 8.566666666666666)","(7.0, 13.5, 9.166666666666666)","(31.0, 110.0, 56.0)","(3.4, 6.8, 6.713157894736842)"
