,Arch Of Titus,Cmon Mate,Clendenning,Decider,Pharoah Magic,Sir Tom,Oakfield Macka,Pudacious,Bubbas Bay,Majeedis,Emphatic Bel,Misty Dreams
15-12-2022 14:24:51.862834,"(8.0, 14.5, 12.25)","(21.0, 100.0, 93.54545454545455)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.5, 6.8, 6.575)","(6.5, 10.5, 9.842857142857143)","(81.0, 480.0, 217.5)","(15.0, 23.0, 22.83783783783784)","(3.1, 3.6, 3.6821428571428574)","(7.0, 9.6, 8.82)","(16.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:24:53.593724,"(8.0, 14.5, 11.8)","(21.0, 100.0, 93.54545454545455)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.5, 6.8, 6.575)","(6.5, 10.5, 9.842857142857143)","(81.0, 480.0, 217.5)","(15.0, 23.0, 22.83783783783784)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(16.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:24:55.048407,"(8.0, 14.5, 11.8)","(21.0, 100.0, 93.54545454545455)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.5, 6.8, 6.575)","(6.5, 10.5, 9.842857142857143)","(81.0, 480.0, 217.5)","(15.0, 23.0, 21.864864864864863)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(16.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:24:56.554477,"(8.0, 14.5, 11.8)","(21.0, 95.0, 84.0)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.5, 6.8, 6.575)","(6.5, 10.5, 9.842857142857143)","(81.0, 480.0, 217.5)","(15.0, 22.0, 20.89189189189189)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(16.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:24:58.062541,"(8.0, 14.5, 11.8)","(21.0, 95.0, 84.0)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.5, 6.8, 6.575)","(6.5, 10.5, 9.842857142857143)","(81.0, 480.0, 217.5)","(15.0, 21.0, 20.89189189189189)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(16.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:24:59.573359,"(8.0, 14.5, 11.8)","(21.0, 95.0, 84.0)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.5, 6.8, 6.575)","(6.5, 10.5, 9.842857142857143)","(81.0, 480.0, 217.5)","(15.0, 21.0, 20.89189189189189)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(16.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:25:01.194725,"(8.0, 14.5, 11.8)","(21.0, 95.0, 84.0)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.5, 6.8, 6.575)","(6.5, 10.5, 9.842857142857143)","(81.0, 480.0, 217.5)","(15.0, 21.0, 20.89189189189189)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(17.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:25:02.956777,"(8.0, 14.5, 11.8)","(21.0, 95.0, 84.0)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.0, 6.8, 6.575)","(6.5, 10.5, 9.8)","(81.0, 480.0, 217.5)","(15.0, 21.0, 20.89189189189189)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(17.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:25:04.707138,"(8.0, 14.5, 11.8)","(21.0, 95.0, 84.0)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.0, 6.8, 6.575)","(6.5, 10.5, 9.8)","(81.0, 480.0, 217.5)","(15.0, 21.0, 20.89189189189189)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(17.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
15-12-2022 14:25:06.505331,"(8.0, 14.5, 11.8)","(21.0, 95.0, 84.0)","(18.0, 90.0, 57.5)","(16.0, 85.0, 53.0)","(5.0, 6.8, 6.4)","(6.5, 10.5, 9.8)","(81.0, 480.0, 217.5)","(15.0, 21.0, 20.89189189189189)","(3.1, 3.95, 3.6821428571428574)","(7.0, 9.8, 8.82)","(17.0, 30.0, 26.0)","(15.0, 27.0, 22.75)"
