,Sholto,Capacitor,Pereira,Easy Eddie,Say Some Words,Mean Pop,San Marco
11-01-2023 20:42:10.749434,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:11.922953,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:13.053621,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:14.234328,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:15.296910,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:16.374650,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:17.429672,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:18.410741,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:19.360050,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:20.467876,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:21.513079,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:22.512345,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:23.594260,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:24.643877,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:25.731339,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:26.816142,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:27.903471,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:28.949444,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:30.057207,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:31.243709,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:32.384636,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:33.341240,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:34.413744,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:35.595955,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:36.887665,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:38.007177,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:39.047505,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:40.037917,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:41.046963,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
11-01-2023 20:42:42.142851,"(3.4, 5.7, 3.73125)","(51.0, 540.0, 295.0)","(5.5, 11.0, 8.721428571428572)","(41.0, 350.0, 196.0)","(2.6, 3.95, 2.856666666666667)","(41.0, 390.0, 216.0)","(2.5, 4.1, 2.7525)"
