,Fleur Bale,Zodiac Bale,Tiggers Run,Crooked Shadows,Kentucky Giblet,Saint Bogan,Son Of Kimetto,Send It Blue
0,"[datetime.datetime(2022, 11, 28, 14, 5, 23, 390155), 2.4, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 390155), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 390155), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 390155), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 390155), 3.0, 5.2]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 390155), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 390155), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 390155), 8.0, 16.5]"
1,"[datetime.datetime(2022, 11, 28, 14, 5, 24, 529887), 2.4, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 529887), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 529887), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 529887), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 529887), 3.0, 5.2]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 529887), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 529887), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 529887), 8.0, 16.5]"
2,"[datetime.datetime(2022, 11, 28, 14, 5, 25, 662992), 2.4, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 662992), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 662992), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 662992), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 662992), 3.0, 5.2]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 662992), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 662992), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 662992), 8.0, 16.5]"
3,"[datetime.datetime(2022, 11, 28, 14, 5, 26, 797651), 2.4, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 797651), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 797651), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 797651), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 797651), 3.0, 5.2]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 797651), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 797651), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 797651), 8.0, 16.5]"
4,"[datetime.datetime(2022, 11, 28, 14, 5, 27, 923789), 2.4, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 923789), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 923789), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 923789), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 923789), 3.0, 5.2]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 923789), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 923789), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 923789), 8.0, 16.5]"
5,"[datetime.datetime(2022, 11, 28, 14, 5, 29, 55123), 2.4, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 55123), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 55123), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 55123), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 55123), 3.0, 5.2]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 55123), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 55123), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 55123), 8.0, 16.5]"
6,"[datetime.datetime(2022, 11, 28, 14, 5, 30, 197980), 2.35, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 197980), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 197980), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 197980), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 197980), 3.0, 5.1]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 197980), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 197980), 7.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 197980), 8.0, 16.5]"
7,"[datetime.datetime(2022, 11, 28, 14, 5, 31, 340017), 2.35, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 340017), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 340017), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 340017), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 340017), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 340017), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 340017), 7.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 340017), 8.0, 16.5]"
8,"[datetime.datetime(2022, 11, 28, 14, 5, 32, 472754), 2.35, 2.38]","[datetime.datetime(2022, 11, 28, 14, 5, 32, 472754), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 32, 472754), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 32, 472754), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 32, 472754), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 32, 472754), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 32, 472754), 7.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 32, 472754), 8.0, 16.5]"
9,"[datetime.datetime(2022, 11, 28, 14, 5, 33, 615118), 2.35, 2.36]","[datetime.datetime(2022, 11, 28, 14, 5, 33, 615118), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 33, 615118), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 33, 615118), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 33, 615118), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 33, 615118), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 33, 615118), 7.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 33, 615118), 8.0, 16.5]"
10,"[datetime.datetime(2022, 11, 28, 14, 5, 34, 754573), 2.35, 2.36]","[datetime.datetime(2022, 11, 28, 14, 5, 34, 754573), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 34, 754573), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 34, 754573), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 34, 754573), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 34, 754573), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 34, 754573), 7.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 34, 754573), 8.0, 16.5]"
11,"[datetime.datetime(2022, 11, 28, 14, 5, 35, 886480), 2.35, 2.36]","[datetime.datetime(2022, 11, 28, 14, 5, 35, 886480), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 35, 886480), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 35, 886480), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 35, 886480), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 35, 886480), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 35, 886480), 7.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 35, 886480), 8.0, 16.5]"
12,"[datetime.datetime(2022, 11, 28, 14, 5, 37, 15656), 2.35, 2.36]","[datetime.datetime(2022, 11, 28, 14, 5, 37, 15656), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 37, 15656), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 37, 15656), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 37, 15656), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 37, 15656), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 37, 15656), 7.0, 13.5]","[datetime.datetime(2022, 11, 28, 14, 5, 37, 15656), 8.0, 16.5]"
13,"[datetime.datetime(2022, 11, 28, 14, 5, 38, 148274), 2.35, 2.36]","[datetime.datetime(2022, 11, 28, 14, 5, 38, 148274), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 38, 148274), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 38, 148274), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 38, 148274), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 38, 148274), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 38, 148274), 7.0, 13.5]","[datetime.datetime(2022, 11, 28, 14, 5, 38, 148274), 8.0, 16.5]"
14,"[datetime.datetime(2022, 11, 28, 14, 5, 39, 290719), 2.35, 2.36]","[datetime.datetime(2022, 11, 28, 14, 5, 39, 290719), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 39, 290719), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 39, 290719), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 39, 290719), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 39, 290719), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 39, 290719), 7.0, 13.5]","[datetime.datetime(2022, 11, 28, 14, 5, 39, 290719), 8.0, 16.5]"
15,"[datetime.datetime(2022, 11, 28, 14, 5, 40, 428813), 2.35, 2.36]","[datetime.datetime(2022, 11, 28, 14, 5, 40, 428813), 6.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 5, 40, 428813), 16.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 5, 40, 428813), 31.0, 48.0]","[datetime.datetime(2022, 11, 28, 14, 5, 40, 428813), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 14, 5, 40, 428813), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 14, 5, 40, 428813), 7.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 40, 428813), 8.0, 16.5]"
