,Wonder Brahma,Justadude,Wine Oclock,Bracewell,Ghost Hunter,Nomoretawq,Trogan Prince,Super Bound
0,"[datetime.datetime(2022, 11, 28, 15, 28, 22, 516489), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 22, 516489), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 22, 516489), 11.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 28, 22, 516489), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 22, 516489), 4.0, 5.4]","[datetime.datetime(2022, 11, 28, 15, 28, 22, 516489), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 22, 516489), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 22, 516489), 21.0, 48.0]"
1,"[datetime.datetime(2022, 11, 28, 15, 28, 23, 655872), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 23, 655872), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 23, 655872), 11.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 28, 23, 655872), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 23, 655872), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 23, 655872), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 23, 655872), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 23, 655872), 21.0, 48.0]"
2,"[datetime.datetime(2022, 11, 28, 15, 28, 24, 782592), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 24, 782592), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 24, 782592), 11.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 28, 24, 782592), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 24, 782592), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 24, 782592), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 24, 782592), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 24, 782592), 21.0, 48.0]"
3,"[datetime.datetime(2022, 11, 28, 15, 28, 25, 955001), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 25, 955001), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 25, 955001), 11.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 28, 25, 955001), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 25, 955001), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 25, 955001), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 25, 955001), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 25, 955001), 21.0, 48.0]"
4,"[datetime.datetime(2022, 11, 28, 15, 28, 27, 95140), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 27, 95140), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 27, 95140), 11.0, 16.5]","[datetime.datetime(2022, 11, 28, 15, 28, 27, 95140), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 27, 95140), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 27, 95140), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 27, 95140), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 27, 95140), 21.0, 48.0]"
5,"[datetime.datetime(2022, 11, 28, 15, 28, 28, 244457), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 28, 244457), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 28, 244457), 11.0, 16.0]","[datetime.datetime(2022, 11, 28, 15, 28, 28, 244457), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 28, 244457), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 28, 244457), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 28, 244457), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 28, 244457), 21.0, 48.0]"
6,"[datetime.datetime(2022, 11, 28, 15, 28, 29, 370514), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 29, 370514), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 29, 370514), 11.0, 16.0]","[datetime.datetime(2022, 11, 28, 15, 28, 29, 370514), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 29, 370514), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 29, 370514), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 29, 370514), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 29, 370514), 21.0, 48.0]"
7,"[datetime.datetime(2022, 11, 28, 15, 28, 30, 598979), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 30, 598979), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 30, 598979), 11.0, 16.0]","[datetime.datetime(2022, 11, 28, 15, 28, 30, 598979), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 30, 598979), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 30, 598979), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 30, 598979), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 30, 598979), 21.0, 48.0]"
8,"[datetime.datetime(2022, 11, 28, 15, 28, 31, 730107), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 31, 730107), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 31, 730107), 11.0, 16.0]","[datetime.datetime(2022, 11, 28, 15, 28, 31, 730107), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 31, 730107), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 31, 730107), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 31, 730107), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 31, 730107), 21.0, 48.0]"
9,"[datetime.datetime(2022, 11, 28, 15, 28, 32, 860466), 3.4, 4.2]","[datetime.datetime(2022, 11, 28, 15, 28, 32, 860466), 2.9, 3.85]","[datetime.datetime(2022, 11, 28, 15, 28, 32, 860466), 11.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 28, 32, 860466), 7.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 28, 32, 860466), 4.0, 5.9]","[datetime.datetime(2022, 11, 28, 15, 28, 32, 860466), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 15, 28, 32, 860466), 31.0, 210.0]","[datetime.datetime(2022, 11, 28, 15, 28, 32, 860466), 21.0, 48.0]"
