,Born A Diamond,Sketchy Deliver,Toppers The One,Lucky Bundy,Perjury,Hooked On Jack,Stuck In Mud,Cosmologist
14-12-2022 12:48:05.407907,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 38.63636363636364)","(11.0, 25.0, 19.75)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 26.833333333333336)","(9.0, 22.0, 21.14666666666667)"
14-12-2022 12:48:07.069194,"(6.5, 13.0, 10.952)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 25.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:08.705728,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:10.302741,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:11.812714,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:13.204478,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:14.439392,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:15.706071,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:16.967692,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:18.185704,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:19.712844,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:21.117566,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:22.773871,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.507096774193548)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:24.144857,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:25.452941,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:26.695888,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:27.951419,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:29.139160,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:30.368599,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:31.550117,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
14-12-2022 12:48:32.846138,"(6.5, 13.0, 9.693333333333333)","(2.0, 3.05, 2.6626086956521737)","(19.0, 55.0, 35.27777777777778)","(11.0, 24.0, 21.0)","(3.4, 6.4, 4.04)","(31.0, 130.0, 79.0)","(12.0, 34.0, 22.333333333333336)","(9.0, 22.0, 19.48)"
