,Gunther,Our Frankie,All Inn Maggie,Nyssas Girl,Myola Knight,Reel It In,Caribbean Queen,Zambora Jay
0,"[datetime.datetime(2022, 11, 28, 17, 29, 43, 326544), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 326544), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 326544), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 326544), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 326544), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 326544), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 326544), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 326544), 3.6, 5.1]"
1,"[datetime.datetime(2022, 11, 28, 17, 29, 44, 473675), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 473675), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 473675), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 473675), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 473675), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 473675), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 473675), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 473675), 3.6, 5.1]"
2,"[datetime.datetime(2022, 11, 28, 17, 29, 45, 616730), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 616730), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 616730), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 616730), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 616730), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 616730), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 616730), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 616730), 3.6, 5.1]"
3,"[datetime.datetime(2022, 11, 28, 17, 29, 46, 761441), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 761441), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 761441), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 761441), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 761441), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 761441), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 761441), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 761441), 3.6, 5.1]"
4,"[datetime.datetime(2022, 11, 28, 17, 29, 47, 894825), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 894825), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 894825), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 894825), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 894825), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 894825), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 894825), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 894825), 3.6, 5.1]"
5,"[datetime.datetime(2022, 11, 28, 17, 29, 49, 35541), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 35541), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 35541), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 35541), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 35541), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 35541), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 35541), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 49, 35541), 3.6, 5.1]"
6,"[datetime.datetime(2022, 11, 28, 17, 29, 50, 182597), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 50, 182597), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 50, 182597), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 50, 182597), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 50, 182597), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 50, 182597), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 50, 182597), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 50, 182597), 3.6, 5.1]"
7,"[datetime.datetime(2022, 11, 28, 17, 29, 51, 318623), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 51, 318623), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 51, 318623), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 51, 318623), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 51, 318623), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 51, 318623), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 51, 318623), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 51, 318623), 3.6, 5.1]"
8,"[datetime.datetime(2022, 11, 28, 17, 29, 52, 449770), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 52, 449770), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 52, 449770), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 52, 449770), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 52, 449770), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 52, 449770), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 52, 449770), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 52, 449770), 3.6, 5.1]"
9,"[datetime.datetime(2022, 11, 28, 17, 29, 53, 594342), 3.3, 5.4]","[datetime.datetime(2022, 11, 28, 17, 29, 53, 594342), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 17, 29, 53, 594342), 3.0, 3.8]","[datetime.datetime(2022, 11, 28, 17, 29, 53, 594342), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 17, 29, 53, 594342), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 17, 29, 53, 594342), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 17, 29, 53, 594342), 51.0, 390.0]","[datetime.datetime(2022, 11, 28, 17, 29, 53, 594342), 3.6, 5.1]"
