,Aston Malle,Slick Lass,Arkansas,Zippy Audi,Flying Jelly,Ruff Shot,Neptune Town
11-01-2023 20:02:21.363689,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:22.690351,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:23.997547,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:25.302199,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:26.583206,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:27.841374,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:29.088918,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:30.386923,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:31.673878,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:32.938529,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:34.241371,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:35.560299,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:36.896153,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 518.75)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:38.170908,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 580.0, 552.0)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:39.414001,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 750.0, 545.0)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:40.678480,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 1000.0, 545.0)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:41.967196,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 1000.0, 545.0)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:43.236728,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(41.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 1000.0, 580.0)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:44.454454,"(2.05, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 587.2222222222222)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:45.634592,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 587.2222222222222)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:46.959110,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 587.2222222222222)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:48.347027,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 587.2222222222222)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:49.602484,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 587.2222222222222)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:50.794079,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 587.2222222222222)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:52.053164,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 134.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 538.0)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 448.75)"
11-01-2023 20:02:53.386526,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:02:54.637321,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:02:55.953033,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:02:57.410365,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:02:58.797391,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:03:00.228454,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:03:01.622110,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:03:02.930369,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
11-01-2023 20:03:04.177037,"(2.1, 3.05, 2.2613333333333334)","(3.2, 5.1, 3.35)","(31.0, 330.0, 184.0)","(8.5, 21.0, 12.466666666666665)","(91.0, 650.0, 588.3333333333333)","(3.0, 4.5, 3.31875)","(61.0, 500.0, 432.5)"
