,Much More Torque,Rinnero,Bjorn Ironside,Duke Of James,Stratum Chief,Romantic Approach,Taylas One,Uninsurabal,Escaped Prisoner,Iama Princess
09-01-2023 15:07:48.118560,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.6)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:49.406137,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 37.5)","(6.5, 9.2, 8.1)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:50.636662,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.55)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:51.866974,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.2, 7.55)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:53.058722,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.714285714285714)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:54.301307,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.5600000000000005)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:55.542943,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.5600000000000005)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:56.867876,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.5600000000000005)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:58.156655,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 7.5600000000000005)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:07:59.446869,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 24.88888888888889)","(16.0, 90.0, 37.5)","(6.5, 9.0, 8.1)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.2)"
09-01-2023 15:08:00.775515,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 73.84615384615385)","(6.5, 9.0, 7.892307692307693)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 8.4, 8.825)"
09-01-2023 15:08:01.991646,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 73.84615384615385)","(6.5, 9.0, 8.200000000000001)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 9.0, 8.825)"
09-01-2023 15:08:03.203476,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 73.84615384615385)","(6.5, 8.8, 8.200000000000001)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.615384615384615)","(41.0, 180.0, 153.6)","(5.5, 9.0, 8.825)"
09-01-2023 15:08:04.483866,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 73.84615384615385)","(6.5, 8.8, 7.866666666666667)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.5)","(41.0, 180.0, 153.6)","(5.5, 9.0, 8.825)"
09-01-2023 15:08:05.773984,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 73.84615384615385)","(6.5, 8.8, 7.866666666666667)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.5)","(41.0, 180.0, 153.6)","(5.5, 9.0, 8.825)"
09-01-2023 15:08:06.972044,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 73.84615384615385)","(6.5, 8.8, 7.866666666666667)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.5)","(41.0, 180.0, 153.6)","(5.5, 9.0, 8.825)"
09-01-2023 15:08:08.188909,"(2.7, 2.9, 2.899090909090909)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 73.84615384615385)","(6.5, 8.8, 7.866666666666667)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.5)","(41.0, 180.0, 153.6)","(5.5, 9.0, 8.825)"
09-01-2023 15:08:09.344833,"(2.7, 3.15, 3.1379518072289154)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 23.142857142857142)","(16.0, 90.0, 73.84615384615385)","(6.5, 8.8, 7.866666666666667)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.333333333333334)","(41.0, 180.0, 154.25)","(5.5, 9.0, 8.825)"
09-01-2023 15:08:10.611602,"(2.7, 3.15, 3.1270114942528733)","(7.5, 11.0, 9.559999999999999)","(13.0, 26.0, 21.0)","(16.0, 90.0, 73.84615384615385)","(6.5, 8.8, 7.866666666666667)","(31.0, 95.0, 92.25)","(7.0, 13.5, 11.192307692307692)","(8.0, 9.0, 8.333333333333334)","(41.0, 170.0, 124.18181818181819)","(5.5, 9.0, 8.541666666666666)"
