,Carpe Eros,Trade Deadline,Serendip Ruler,Bluegrass Breeze,Sr Bi Bi,Bayron,Love My Ride,Name Rejected
15-12-2022 11:57:49.751518,"(6.5, 9.2, 8.8)","(31.0, 150.0, 118.0)","(14.0, 24.0, 19.1875)","(14.0, 24.0, 20.0)","(8.5, 99999, 99990)","(1.85, 2.16, 2.087191011235955)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:57:51.041594,"(6.5, 9.2, 8.8)","(31.0, 130.0, 118.0)","(14.0, 22.0, 21.625)","(14.0, 22.0, 20.0)","(8.5, 99999, 99990)","(1.85, 2.16, 2.087191011235955)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:57:52.278393,"(6.5, 9.2, 8.8)","(31.0, 130.0, 118.0)","(14.0, 23.0, 21.625)","(14.0, 22.0, 20.0)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:57:53.526075,"(6.5, 9.2, 8.8)","(31.0, 120.0, 103.33333333333334)","(14.0, 24.0, 19.9375)","(14.0, 22.0, 19.75)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:57:54.698241,"(6.5, 9.2, 8.8)","(31.0, 110.0, 102.0)","(14.0, 24.0, 19.9375)","(14.0, 22.0, 19.75)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:57:55.843434,"(6.5, 9.2, 8.8)","(31.0, 110.0, 102.0)","(14.0, 24.0, 19.9375)","(14.0, 22.0, 19.75)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:57:56.936170,"(6.5, 9.2, 8.8)","(31.0, 110.0, 102.0)","(14.0, 24.0, 19.9375)","(14.0, 22.0, 19.75)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:57:58.001310,"(6.5, 9.2, 8.8)","(31.0, 110.0, 102.0)","(14.0, 24.0, 19.9375)","(14.0, 22.0, 19.75)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:57:59.100443,"(6.5, 9.2, 8.8)","(31.0, 110.0, 102.0)","(14.0, 25.0, 22.0)","(14.0, 22.0, 19.75)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:58:00.212477,"(6.5, 9.2, 9.0)","(31.0, 110.0, 102.0)","(14.0, 25.0, 22.0)","(14.0, 22.0, 19.75)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:58:01.333422,"(6.5, 9.2, 9.0)","(31.0, 110.0, 102.0)","(14.0, 25.0, 23.0)","(14.0, 22.0, 19.75)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:58:02.525673,"(6.5, 9.0, 8.7)","(31.0, 110.0, 96.66666666666667)","(14.0, 25.0, 23.833333333333336)","(14.0, 22.0, 17.857142857142858)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.53125)"
15-12-2022 11:58:03.688097,"(6.5, 9.0, 8.7)","(31.0, 110.0, 108.21428571428572)","(14.0, 25.0, 23.833333333333336)","(14.0, 23.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.107741935483871)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:04.894033,"(6.5, 9.0, 8.7)","(31.0, 110.0, 108.27586206896552)","(14.0, 24.0, 21.0)","(14.0, 24.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.0863636363636364)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.25)"
15-12-2022 11:58:06.158385,"(6.5, 9.0, 8.7)","(31.0, 110.0, 108.27586206896552)","(14.0, 30.0, 27.0)","(14.0, 24.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.08)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.75)"
15-12-2022 11:58:07.376671,"(6.5, 9.0, 8.9)","(31.0, 110.0, 108.27586206896552)","(14.0, 30.0, 27.0)","(14.0, 24.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.08)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.166666666666666)"
15-12-2022 11:58:08.549780,"(6.5, 9.0, 8.9)","(31.0, 110.0, 108.27586206896552)","(14.0, 30.0, 27.0)","(14.0, 24.0, 21.666666666666668)","(8.5, 99999, 99990)","(1.85, 2.16, 2.0727272727272728)","(7.0, 9.0, 8.5)","(11.0, 14.0, 13.166666666666666)"
