,Zoutons,Jaazeb,Cork Harbour,Devils Rain,Huntley Lady,Lil Piper,Syncretism,Miss Miduki,Opal Beach,Isa Secret,Tea Rav
07-01-2023 16:39:12.957215,"(10.0, 14.5, 13.844086021505376)","(8.0, 8.6, 8.514285714285714)","(19.0, 29.0, 26.428571428571427)","(21.0, 32.0, 31.294117647058822)","(2.7, 3.35, 3.2807692307692307)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.65, 3.6473684210526316)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:14.458317,"(10.0, 14.5, 13.844086021505376)","(8.0, 8.6, 8.514285714285714)","(19.0, 29.0, 26.428571428571427)","(21.0, 32.0, 31.294117647058822)","(2.7, 3.3, 3.2807692307692307)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.75, 3.6473684210526316)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:15.852325,"(10.0, 14.5, 13.829896907216495)","(8.0, 8.6, 8.514285714285714)","(19.0, 29.0, 26.428571428571427)","(21.0, 32.0, 31.294117647058822)","(2.7, 3.3, 3.286842105263158)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.75, 3.6473684210526316)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:17.278117,"(10.0, 14.0, 13.921052631578947)","(8.0, 8.6, 8.514285714285714)","(19.0, 29.0, 26.272727272727273)","(21.0, 32.0, 31.294117647058822)","(2.7, 3.3, 3.2583333333333333)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.8, 3.7806451612903222)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:18.648724,"(10.0, 14.0, 13.921052631578947)","(8.0, 8.6, 8.472727272727273)","(19.0, 29.0, 26.428571428571427)","(21.0, 32.0, 31.294117647058822)","(2.7, 3.3, 3.2583333333333333)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.8, 3.7746153846153843)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:20.068630,"(10.0, 14.0, 13.921052631578947)","(8.0, 8.6, 8.472727272727273)","(19.0, 29.0, 26.428571428571427)","(21.0, 32.0, 31.294117647058822)","(2.8, 3.3, 3.2583333333333333)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.8, 3.778)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:21.594735,"(10.0, 14.0, 13.921052631578947)","(8.0, 8.6, 8.472727272727273)","(19.0, 29.0, 26.428571428571427)","(21.0, 32.0, 31.294117647058822)","(2.8, 3.3, 3.2583333333333333)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.8, 3.778)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:22.972893,"(10.0, 14.0, 13.921052631578947)","(8.0, 8.6, 8.472727272727273)","(19.0, 29.0, 26.428571428571427)","(21.0, 32.0, 31.294117647058822)","(2.8, 3.3, 3.2583333333333333)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.8, 3.778)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:24.443219,"(10.0, 14.0, 13.921052631578947)","(8.0, 8.6, 8.472727272727273)","(19.0, 29.0, 26.272727272727273)","(21.0, 32.0, 31.294117647058822)","(2.8, 3.3, 3.2583333333333333)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.8, 3.765625)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
07-01-2023 16:39:25.784255,"(10.0, 14.0, 13.921052631578947)","(8.0, 8.6, 8.472727272727273)","(19.0, 29.0, 26.272727272727273)","(21.0, 32.0, 31.294117647058822)","(2.8, 3.3, 3.2583333333333333)","(18.0, 22.0, 20.526315789473685)","(8.0, 13.0, 12.481481481481481)","(3.4, 3.8, 3.765625)","(41.0, 80.0, 76.0)","(51.0, 170.0, 146.66666666666666)","(91.0, 130.0, 127.5)"
