,Hipster Dufuss,Loubowski Nz,Village Area,Shes Going Places,Schiavone Nz,Yoo Trish,Master Of Illusion,Rocknburn Nz,Need A Penny
06-01-2023 14:38:58.899074,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:00.143496,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:01.331516,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:02.462171,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:03.646993,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:04.771572,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:05.901400,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:07.079630,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:08.465851,"(41.0, 99999, 99990)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:09.607049,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:10.713182,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
06-01-2023 14:39:11.803321,"(41.0, 170.0, 81.66666666666667)","(1.4, 99999, 99990)","(8.5, 19.5, 11.175)","(21.0, 180.0, 45.83333333333333)","(101.0, 99999, 99990)","(26.0, 200.0, 124.58333333333334)","(61.0, 99999, 99990)","(3.3, 99999, 99990)","(26.0, 170.0, 40.57142857142857)"
