,Pandoras Art,Ee Jay Why,Allaboutlegs,Adda Stormy Lady,Dazzling Jewel,Maple Maree,Knight Eagle
07-12-2022 13:09:54.532079,"(4.6, 8.2, 8.172413793103448)","(6.5, 9.2, 8.057142857142857)","(1.9, 2.1, 2.0885714285714285)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 21.75)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:09:55.499223,"(4.6, 8.2, 8.1625)","(6.5, 9.2, 8.057142857142857)","(1.9, 2.1, 2.0885714285714285)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:09:56.403449,"(4.6, 8.2, 8.1625)","(6.5, 9.2, 8.057142857142857)","(1.9, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:09:57.347880,"(4.6, 8.2, 8.1625)","(6.5, 9.2, 8.057142857142857)","(1.9, 2.1, 2.0953846153846154)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 21.75)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:09:58.429255,"(4.6, 8.2, 8.1625)","(6.5, 9.2, 8.057142857142857)","(1.9, 2.1, 2.0953846153846154)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 21.75)","(81.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:09:59.417387,"(4.8, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0885714285714285)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 21.75)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:00.375494,"(4.8, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0885714285714285)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 21.75)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:01.297711,"(4.8, 8.2, 8.1625)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0885714285714285)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 21.75)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:02.339317,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:03.380101,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:04.315234,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:05.240555,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
07-12-2022 13:10:06.168231,"(4.8, 8.2, 8.17142857142857)","(6.0, 9.2, 8.057142857142857)","(1.85, 2.1, 2.0858823529411765)","(3.6, 4.7, 4.681818181818182)","(15.0, 24.0, 20.25)","(71.0, 180.0, 171.42857142857144)","(101.0, 310.0, 267.1428571428571)"
