,Squillions,Birdie Curdy,Silverscape,Colors Of The Wind,Optimistic Cowgirl,Street Tapper,Sea Level
08-12-2022 14:03:40.966455,"(3.2, 4.3, 3.6999999999999997)","(9.0, 16.5, 11.84)","(4.0, 5.4, 4.78)","(11.0, 19.0, 12.98)","(3.2, 21.0, 11.959999999999999)","(10.0, 14.5, 13.647368421052633)","(26.0, 280.0, 241.71428571428572)"
08-12-2022 14:03:42.324731,"(3.2, 4.1, 3.6999999999999997)","(9.0, 16.0, 11.84)","(4.0, 5.3, 4.91)","(11.0, 18.5, 15.05)","(3.2, 21.0, 11.98)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:43.606868,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.7375)","(11.0, 18.5, 15.05)","(3.2, 21.0, 18.145263157894735)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:44.966255,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.7375)","(11.0, 18.5, 15.05)","(3.2, 21.0, 11.969999999999999)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:46.369551,"(3.2, 4.2, 3.7800000000000002)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.4399999999999995)","(11.0, 18.5, 15.05)","(3.2, 21.0, 10.379999999999999)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:47.754356,"(3.2, 3.1, 3.072)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.4399999999999995)","(11.0, 18.5, 15.05)","(3.2, 21.0, 10.379999999999999)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:49.039691,"(3.2, 3.1, 3.072)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.48)","(11.0, 18.5, 15.05)","(3.2, 21.0, 10.379999999999999)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:50.366268,"(3.2, 3.1, 3.072)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.48)","(11.0, 18.5, 15.05)","(3.2, 21.0, 10.379999999999999)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:51.737134,"(3.2, 3.1, 3.072)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.48)","(11.0, 18.5, 15.15)","(3.2, 21.0, 15.690000000000001)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:53.059972,"(3.2, 4.2, 4.095238095238095)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.8)","(11.0, 18.5, 15.15)","(3.2, 21.0, 14.38125)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
08-12-2022 14:03:54.416858,"(3.2, 4.2, 3.966666666666667)","(9.0, 16.0, 13.4)","(4.0, 5.3, 4.52)","(11.0, 18.5, 15.15)","(3.2, 21.0, 14.38125)","(10.0, 14.5, 11.42)","(26.0, 280.0, 253.20000000000002)"
