,Exciting Times,Holdingno Currency,Voodoo Fella,Malinjang,Shakalakaboomboom,Dollarbill,Peppa Bliss,Slingin A Gun,Studleigh Mark
06-01-2023 14:19:11.897645,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:13.285803,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:14.565239,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:15.815539,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:17.025786,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:18.268375,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:19.382795,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:20.552146,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:21.703202,"(2.0, 99999, 99990)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:23.109807,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:24.415233,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:25.677228,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.4, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:26.838472,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:28.251605,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:29.877743,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:31.459977,"(2.0, 3.0, 2.7333333333333334)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:32.964400,"(2.0, 3.0, 2.9386666666666668)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:34.599674,"(2.0, 3.0, 2.775)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:35.964577,"(2.0, 3.0, 2.775)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:37.421365,"(2.0, 3.0, 2.8714285714285714)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:38.916175,"(2.0, 3.0, 2.7066666666666666)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:40.254001,"(2.0, 3.0, 2.7066666666666666)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:41.653496,"(2.0, 3.0, 2.7066666666666666)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:43.138605,"(2.0, 3.0, 2.7066666666666666)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:44.747042,"(2.0, 3.0, 2.785)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:46.033289,"(2.0, 3.0, 2.785)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:47.503941,"(2.0, 3.0, 2.785)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(41.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:48.960857,"(2.0, 3.0, 2.785)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
06-01-2023 14:19:50.502472,"(2.0, 3.0, 2.785)","(14.0, 27.0, 23.0)","(8.0, 13.0, 10.4)","(3.5, 5.7, 4.41)","(21.0, 55.0, 40.42857142857143)","(51.0, 170.0, 88.66666666666666)","(5.0, 8.8, 7.845454545454546)","(51.0, 110.0, 94.28571428571428)","(19.0, 38.0, 31.0)"
