,Miss Indi,Eker The Wrecker,Tilly Devine,Sublime Dallas,Mighty Kristy,Early Sunset,Sirius Thinking,Speedy Sunny
14-12-2022 13:36:50.524213,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:36:51.781158,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:36:52.865752,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:36:54.016524,"(7.5, 16.5, 12.05)","(2.5, 3.95, 3.308461538461539)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:36:55.066165,"(7.5, 16.5, 12.05)","(2.5, 4.1, 2.8106976744186047)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:36:56.186474,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.232)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:36:57.270236,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.018181818181818)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:36:58.416154,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.018181818181818)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:36:59.699692,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.018181818181818)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:00.940220,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.018181818181818)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:02.024201,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.018181818181818)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:03.084831,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.018181818181818)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:04.152258,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.018181818181818)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
14-12-2022 13:37:05.169977,"(7.5, 16.5, 12.05)","(2.5, 4.0, 3.018181818181818)","(5.0, 8.8, 8.351515151515152)","(7.5, 13.0, 12.100000000000001)","(21.0, 95.0, 50.69230769230769)","(11.0, 24.0, 15.5625)","(3.7, 6.6, 5.594117647058823)","(26.0, 65.0, 39.0)"
