,Atomic Julia,Cheers Poverty,Chemical Reactor,Makaila,Orator,Supercharged,Spearhead,Whodat Boodat
09-01-2023 15:36:03.389202,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8566666666666665)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:05.074487,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8566666666666665)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:06.606824,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8566666666666665)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:07.943225,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:09.225264,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:10.509206,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:11.766200,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:13.008094,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:14.329048,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:15.613332,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:16.933875,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:18.290520,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:19.835241,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:21.423132,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:22.740353,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:24.132128,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:25.343434,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.9, 1.8522580645161288)","(3.2, 5.3, 4.375)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:26.522800,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8609677419354838)","(3.2, 5.2, 3.8000000000000003)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:27.765809,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8609677419354838)","(3.2, 5.2, 3.8000000000000003)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:29.027024,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8609677419354838)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:30.406658,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8609677419354838)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:31.815459,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8609677419354838)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:33.097767,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8888888888888888)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:34.329591,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8888888888888888)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:35.621345,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8888888888888888)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:36.761186,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8888888888888888)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:37.894088,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:39.096113,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:40.271737,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:41.459997,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:42.621086,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:43.817740,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:44.946239,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:46.029289,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:47.100599,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:48.191134,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:49.282990,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:50.445788,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:51.532337,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:52.570485,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:53.643625,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
09-01-2023 15:36:54.810059,"(101.0, 210.0, 178.57142857142856)","(71.0, 210.0, 174.28571428571428)","(21.0, 55.0, 33.666666666666664)","(9.0, 16.5, 14.0)","(1.45, 1.91, 1.8745333333333334)","(3.2, 5.1, 4.275)","(10.0, 18.5, 13.75)","(61.0, 200.0, 157.14285714285714)"
