,Tranquil Coco,Clover Door,Little Gomez,Velocity Shinae,Colonel Angus,Bugatti Spiral,Smooth Grace,Ember Lad
15-12-2022 12:28:59.647642,"(21.0, 65.0, 44.294117647058826)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.79, 1.692222222222222)","(3.1, 5.5, 3.625)","(9.0, 18.5, 11.90625)","(13.0, 32.0, 24.25)","(61.0, 550.0, 375.0)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:00.906038,"(21.0, 65.0, 44.294117647058826)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.79, 1.689090909090909)","(3.1, 5.5, 4.833333333333334)","(9.0, 18.0, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 375.0)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:02.204476,"(21.0, 65.0, 44.294117647058826)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.78, 1.688)","(3.1, 5.5, 4.228260869565217)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 375.0)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:03.472536,"(21.0, 65.0, 44.294117647058826)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.78, 1.688)","(3.1, 5.5, 4.0375)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 375.0)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:04.796882,"(21.0, 65.0, 44.294117647058826)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.78, 1.7266666666666666)","(3.1, 5.5, 4.0375)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 375.0)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:06.195749,"(21.0, 65.0, 44.294117647058826)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.7266666666666666)","(3.1, 5.5, 4.0375)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 375.0)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:07.523206,"(21.0, 65.0, 44.294117647058826)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.7429999999999999)","(3.1, 5.5, 4.3125)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:08.828626,"(21.0, 65.0, 44.0)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.744)","(3.1, 5.5, 4.609375)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:10.155030,"(21.0, 65.0, 39.76923076923077)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.744)","(3.1, 5.5, 4.609375)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 53.15384615384615)"
15-12-2022 12:29:11.548279,"(21.0, 65.0, 43.666666666666664)","(19.0, 65.0, 33.72727272727273)","(1.6, 1.75, 1.738)","(3.1, 5.5, 4.444444444444445)","(9.0, 17.5, 15.75)","(13.0, 32.0, 24.25)","(61.0, 550.0, 386.66666666666663)","(21.0, 95.0, 53.15384615384615)"
