,Emmas Image,Lektra Nick,Vinny Dewalt,Our Boy Ziggy,Especial Speed,Zipping Pistol,Chappys Thief,Milski
09-01-2023 14:02:07.386699,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.25625)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:08.523852,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.25625)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:09.747647,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.25625)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:10.959922,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.25625)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:12.175781,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.25625)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:13.363116,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.25625)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:14.541648,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.25625)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:15.708679,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.1525)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:16.804883,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:17.953117,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:19.061029,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:20.130944,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:21.138296,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:22.444620,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:23.745135,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:24.943828,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:26.109225,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:27.179710,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:28.272793,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:29.353667,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:30.477427,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:31.566498,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:32.686662,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:33.804019,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:34.971094,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:36.183938,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:37.275593,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:38.386654,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
09-01-2023 14:02:39.479746,"(9.0, 17.0, 12.555555555555555)","(8.0, 14.5, 12.438461538461539)","(13.0, 29.0, 25.125)","(7.5, 13.5, 12.280000000000001)","(3.0, 4.5, 3.9352941176470586)","(91.0, 650.0, 555.8333333333334)","(2.35, 3.85, 3.28125)","(12.0, 24.0, 20.0)"
