,Young Mase,Lonely Gemma,Goldstar Butters,Opawa Solomon,Homebush Thaw,Six Pack Nugget,Mysterious Lady,Sozins Prince
05-01-2023 15:13:12.719654,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:13.854064,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:15.112807,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:16.228220,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:17.234021,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:18.251452,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:19.293961,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:20.408180,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:21.480951,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:22.509743,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
05-01-2023 15:13:23.464304,"(3.4, 4.8, 4.4678571428571425)","(10.0, 19.0, 17.933333333333334)","(4.6, 7.0, 6.5)","(10.0, 26.0, 24.15555555555556)","(5.5, 14.0, 13.044444444444444)","(4.4, 8.2, 7.6482758620689655)","(9.0, 19.5, 18.490909090909092)","(10.0, 27.0, 25.309090909090912)"
