,Des Troy,Another Sparky,Classic Reactor,Ozzie Daybreak,Southern Burgundy,Spring Delight,Tale Of The Dragon,Gracie Cullen,Stormont Star,Orama
0,"[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 41, 790468), 19.0, 38.0]"
1,"[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 43, 90283), 19.0, 38.0]"
2,"[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 44, 378623), 19.0, 38.0]"
3,"[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 45, 642648), 19.0, 38.0]"
4,"[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 46, 890391), 19.0, 38.0]"
5,"[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 48, 142821), 19.0, 38.0]"
6,"[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 49, 387308), 19.0, 38.0]"
7,"[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 50, 635955), 19.0, 38.0]"
8,"[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 51, 896525), 19.0, 38.0]"
9,"[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 16.0, 36.0]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 26.0, 70.0]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 5.5, 9.2]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 2.15, 3.3]","[datetime.datetime(2022, 11, 28, 16, 5, 53, 183964), 19.0, 38.0]"
