,Atlantic Way,Coronel,Doctor Jack,Martini Dancer,Casrock,Stars N Riches,Alexandra Road,Zeeluck
07-12-2022 17:43:42.531677,"(2.9, 4.3, 4.222222222222222)","(31.0, 48.0, 47.25)","(10.0, 11.0, 10.86231884057971)","(5.0, 8.2, 7.866666666666666)","(2.7, 2.96, 2.8657142857142857)","(6.5, 7.2, 7.133333333333334)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:43.903598,"(2.9, 4.3, 4.257142857142857)","(31.0, 48.0, 47.25)","(10.0, 11.0, 10.808823529411764)","(5.0, 8.0, 7.866666666666666)","(2.7, 2.88, 2.8657142857142857)","(6.5, 7.2, 7.133333333333334)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:44.948135,"(2.9, 4.3, 4.257142857142857)","(31.0, 48.0, 47.25)","(10.0, 11.0, 10.808823529411764)","(5.0, 8.0, 7.866666666666666)","(2.7, 2.88, 2.861818181818182)","(6.5, 7.2, 7.133333333333334)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:46.018363,"(2.9, 4.3, 4.257142857142857)","(31.0, 48.0, 47.25)","(10.0, 11.0, 10.808823529411764)","(5.0, 8.0, 7.949999999999999)","(2.7, 2.88, 2.861818181818182)","(6.5, 7.2, 7.133333333333334)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:47.093907,"(2.9, 4.3, 4.257142857142857)","(31.0, 48.0, 47.25)","(10.0, 11.0, 10.808823529411764)","(5.0, 8.2, 7.949999999999999)","(2.7, 2.88, 2.861818181818182)","(6.5, 7.2, 7.133333333333334)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:48.193143,"(2.9, 4.3, 4.257142857142857)","(31.0, 48.0, 47.25)","(10.0, 11.0, 10.808823529411764)","(5.0, 8.2, 7.949999999999999)","(2.7, 2.96, 2.8866666666666667)","(6.5, 7.2, 7.133333333333334)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:49.172210,"(2.9, 4.3, 4.257142857142857)","(31.0, 48.0, 47.25)","(10.0, 11.0, 10.808823529411764)","(5.0, 8.2, 7.949999999999999)","(2.7, 2.96, 2.8866666666666667)","(6.5, 7.2, 7.133333333333334)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:50.143174,"(2.9, 4.2, 4.178571428571429)","(31.0, 48.0, 47.25)","(10.0, 11.0, 10.808823529411764)","(5.0, 8.0, 7.885714285714285)","(2.7, 2.96, 2.9345454545454546)","(6.5, 7.2, 7.05)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:51.205944,"(2.9, 4.4, 4.265)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.245454545454546)","(5.0, 8.2, 7.949999999999999)","(2.7, 2.9, 2.868)","(6.5, 7.2, 7.16)","(71.0, 130.0, 125.0)","(51.0, 60.0, 53.75)"
07-12-2022 17:43:52.205549,"(2.9, 4.4, 4.362500000000001)","(31.0, 48.0, 46.8)","(10.0, 11.5, 11.245454545454546)","(5.0, 8.2, 7.9)","(2.7, 2.88, 2.84)","(6.5, 7.2, 7.16)","(71.0, 130.0, 124.0)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:43:53.276065,"(2.9, 4.4, 4.362500000000001)","(31.0, 48.0, 46.8)","(10.0, 11.5, 11.354166666666666)","(5.0, 8.0, 7.9)","(2.7, 2.86, 2.84)","(6.5, 7.2, 7.16)","(71.0, 130.0, 124.0)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:43:54.332786,"(2.9, 4.4, 4.365714285714286)","(31.0, 48.0, 46.8)","(10.0, 11.5, 11.134615384615385)","(5.0, 8.2, 7.949999999999999)","(2.7, 2.84, 2.8266666666666667)","(6.5, 7.2, 7.16)","(71.0, 130.0, 124.0)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:43:55.391556,"(2.9, 4.4, 4.365714285714286)","(31.0, 48.0, 46.8)","(10.0, 11.5, 11.134615384615385)","(5.0, 8.2, 7.949999999999999)","(2.7, 2.84, 2.8266666666666667)","(6.5, 7.2, 7.16)","(71.0, 130.0, 124.0)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:43:56.484625,"(2.9, 4.4, 4.311111111111112)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.134615384615385)","(5.0, 8.0, 7.828571428571428)","(2.7, 2.84, 2.8266666666666667)","(6.5, 7.2, 7.16)","(71.0, 130.0, 118.33333333333333)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:43:57.580615,"(3.0, 4.4, 4.333333333333334)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.134615384615385)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.84, 2.818181818181818)","(6.5, 7.2, 7.16)","(71.0, 130.0, 109.0)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:43:58.659158,"(3.0, 4.4, 4.333333333333334)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.134615384615385)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.84, 2.8049999999999997)","(6.5, 7.2, 7.16)","(71.0, 130.0, 102.77777777777777)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:43:59.741902,"(3.0, 4.4, 4.333333333333334)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.134615384615385)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.82, 2.8049999999999997)","(6.5, 7.2, 7.16)","(71.0, 130.0, 102.77777777777777)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:00.879251,"(3.0, 4.4, 4.333333333333334)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.203125)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.82, 2.8049999999999997)","(6.5, 7.2, 7.16)","(71.0, 120.0, 102.14285714285714)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:01.964962,"(3.0, 4.4, 4.333333333333334)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.203125)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.82, 2.8049999999999997)","(6.5, 7.2, 7.064)","(71.0, 120.0, 103.33333333333333)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:03.014419,"(3.0, 4.4, 4.333333333333334)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.203125)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.82, 2.8049999999999997)","(6.5, 7.2, 7.064)","(71.0, 120.0, 100.0)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:04.046916,"(3.0, 4.4, 4.333333333333334)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.203125)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.82, 2.8049999999999997)","(6.5, 7.2, 7.064)","(71.0, 120.0, 101.25)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:05.166815,"(3.0, 4.4, 4.3578947368421055)","(31.0, 48.0, 47.25)","(10.0, 11.5, 11.203125)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.82, 2.8049999999999997)","(6.5, 7.2, 7.064)","(71.0, 120.0, 101.25)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:06.159097,"(3.0, 4.4, 4.3578947368421055)","(31.0, 48.0, 47.76470588235294)","(10.0, 11.5, 11.447368421052632)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.76, 2.736)","(6.5, 7.2, 7.132)","(71.0, 120.0, 110.0)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:07.159871,"(3.0, 4.4, 4.365217391304348)","(31.0, 48.0, 47.42857142857143)","(10.0, 12.0, 11.62)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.76, 2.7567272727272725)","(6.5, 7.2, 7.158333333333333)","(71.0, 120.0, 112.5)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:08.182922,"(3.0, 4.4, 4.3578947368421055)","(31.0, 48.0, 47.63636363636364)","(10.0, 12.0, 11.62)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.78, 2.7622222222222224)","(6.5, 7.2, 7.158333333333333)","(71.0, 120.0, 101.25)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:09.227872,"(3.0, 4.4, 4.336363636363637)","(31.0, 48.0, 47.42857142857143)","(10.0, 12.0, 11.62)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.78, 2.7673684210526313)","(6.5, 7.2, 7.1781250000000005)","(71.0, 120.0, 101.25)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:10.261073,"(3.0, 4.4, 4.336363636363637)","(31.0, 48.0, 47.42857142857143)","(10.0, 12.0, 11.62)","(5.0, 8.0, 7.913043478260869)","(2.7, 2.78, 2.7673684210526313)","(6.5, 7.2, 7.1781250000000005)","(71.0, 120.0, 101.25)","(51.0, 60.0, 51.666666666666664)"
07-12-2022 17:44:11.346283,"(3.0, 4.3, 4.3578947368421055)","(31.0, 48.0, 46.666666666666664)","(10.0, 12.0, 12.3)","(5.0, 7.8, 7.95)","(2.7, 2.82, 2.735357142857143)","(6.5, 7.2, 7.1753846153846155)","(71.0, 120.0, 110.0)","(51.0, 60.0, 56.666666666666664)"
07-12-2022 17:44:12.444407,"(3.0, 4.4, 4.3578947368421055)","(31.0, 48.0, 46.666666666666664)","(10.0, 13.0, 12.3)","(5.0, 8.2, 7.966666666666666)","(2.7, 2.72, 2.7164705882352944)","(6.5, 7.2, 7.1753846153846155)","(71.0, 120.0, 110.0)","(51.0, 60.0, 56.666666666666664)"
07-12-2022 17:44:13.524405,"(3.0, 4.4, 4.3578947368421055)","(31.0, 48.0, 46.666666666666664)","(10.0, 13.0, 12.3)","(5.0, 8.2, 7.966666666666666)","(2.7, 2.72, 2.7164705882352944)","(6.5, 7.2, 7.1753846153846155)","(71.0, 120.0, 111.42857142857143)","(51.0, 60.0, 57.142857142857146)"
07-12-2022 17:44:18.829845,"(3.0, 4.4, 4.371428571428572)","(31.0, 48.0, 47.42857142857143)","(10.0, 13.0, 12.3)","(5.0, 8.2, 8.149999999999999)","(2.7, 2.7, 2.6655172413793107)","(6.5, 7.2, 7.178378378378379)","(71.0, 120.0, 110.0)","(51.0, 60.0, 57.142857142857146)"
07-12-2022 17:44:20.009987,"(3.0, 4.4, 4.371428571428572)","(31.0, 48.0, 47.42857142857143)","(10.0, 13.0, 12.3)","(5.0, 8.2, 8.149999999999999)","(2.7, 2.7, 2.6655172413793107)","(6.5, 7.2, 7.178378378378379)","(71.0, 120.0, 110.0)","(51.0, 60.0, 57.142857142857146)"
07-12-2022 17:44:21.156016,"(3.0, 4.4, 4.375)","(31.0, 48.0, 47.42857142857143)","(10.0, 12.0, 11.48)","(5.0, 8.2, 8.083333333333332)","(2.7, 2.7, 2.680769230769231)","(6.5, 7.4, 7.334177215189873)","(71.0, 160.0, 153.33333333333334)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:22.193380,"(3.0, 4.4, 4.375)","(31.0, 48.0, 47.42857142857143)","(10.0, 12.0, 11.48)","(5.0, 8.2, 8.083333333333332)","(2.7, 2.7, 2.680769230769231)","(6.5, 7.4, 7.334177215189873)","(71.0, 160.0, 153.33333333333334)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:23.186378,"(3.0, 4.4, 4.3545454545454545)","(31.0, 48.0, 46.18181818181818)","(10.0, 12.0, 11.571428571428571)","(5.0, 8.4, 8.25)","(2.7, 2.66, 2.645)","(6.5, 7.4, 7.361538461538462)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:24.237007,"(3.0, 4.4, 4.3545454545454545)","(31.0, 48.0, 46.18181818181818)","(10.0, 12.0, 11.571428571428571)","(5.0, 8.4, 8.25)","(2.7, 2.66, 2.645)","(6.5, 7.4, 7.361538461538462)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:25.304678,"(3.0, 4.4, 4.3545454545454545)","(31.0, 48.0, 46.18181818181818)","(10.0, 12.0, 11.571428571428571)","(5.0, 8.4, 8.25)","(2.7, 2.66, 2.645)","(6.5, 7.4, 7.361538461538462)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:26.396756,"(3.0, 4.4, 4.3545454545454545)","(31.0, 46.0, 44.666666666666664)","(10.0, 12.0, 11.571428571428571)","(5.0, 8.4, 8.166666666666666)","(2.7, 2.66, 2.64)","(6.5, 7.4, 7.3909090909090915)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
07-12-2022 17:44:27.546613,"(3.0, 4.4, 4.3545454545454545)","(31.0, 46.0, 44.666666666666664)","(10.0, 12.0, 11.571428571428571)","(5.0, 8.4, 8.11111111111111)","(2.7, 2.66, 2.64)","(6.5, 7.4, 7.3909090909090915)","(71.0, 160.0, 143.63636363636363)","(51.0, 75.0, 71.66666666666667)"
