,Dr Earnie,Little Amelia,Bombers Reward,Slingshot Queen,Dr Audrey,Dr Boone,Dr Cinny,Good Chat Sam
07-12-2022 18:39:25.954576,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.5, 2.48, 2.4728)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:26.947245,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.5, 2.48, 2.4728)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:28.162939,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.46153846153846)","(2.5, 2.48, 2.4728)","(41.0, 60.0, 50.375)","(101.0, 710.0, 606.0)"
07-12-2022 18:39:29.392066,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.46153846153846)","(2.5, 2.48, 2.4728)","(41.0, 60.0, 50.375)","(101.0, 710.0, 606.0)"
07-12-2022 18:39:30.614665,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.5, 2.48, 2.4728)","(41.0, 60.0, 50.375)","(101.0, 710.0, 606.0)"
07-12-2022 18:39:31.746900,"(17.0, 24.0, 21.75)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.5, 2.48, 2.473076923076923)","(41.0, 60.0, 50.375)","(101.0, 710.0, 606.0)"
07-12-2022 18:39:33.077066,"(17.0, 24.0, 21.75)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.5, 2.48, 2.473076923076923)","(41.0, 60.0, 50.375)","(101.0, 710.0, 606.0)"
07-12-2022 18:39:34.144013,"(17.0, 24.0, 21.75)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.0)","(101.0, 710.0, 606.0)"
07-12-2022 18:39:35.271163,"(17.0, 24.0, 21.75)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.8235294117647)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.0)","(101.0, 710.0, 606.0)"
07-12-2022 18:39:36.558439,"(17.0, 24.0, 21.75)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.46153846153846)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.0)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:39:37.721300,"(17.0, 24.0, 20.34375)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.0)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:38.860897,"(17.0, 24.0, 20.34375)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.0)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:40.004905,"(17.0, 24.0, 20.198275862068964)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.0)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:41.152965,"(17.0, 24.0, 20.04)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.0)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:42.286126,"(17.0, 24.0, 20.04)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.30434782608695)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:43.386101,"(17.0, 24.0, 20.04)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.94)","(21.0, 36.0, 34.46153846153846)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.30434782608695)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:44.375740,"(17.0, 24.0, 20.04)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.30434782608695)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:45.498097,"(17.0, 24.0, 20.04)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.95)","(21.0, 36.0, 34.46153846153846)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.30434782608695)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:46.562218,"(17.0, 24.0, 20.04)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.95)","(21.0, 36.0, 34.46153846153846)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.30434782608695)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:47.620085,"(17.0, 24.0, 20.04)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.235955056179776)","(2.1, 2.98, 2.95)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.473076923076923)","(41.0, 60.0, 53.30434782608695)","(101.0, 710.0, 608.0)"
07-12-2022 18:39:48.654205,"(16.0, 24.0, 20.04)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.98, 2.95)","(21.0, 36.0, 34.46153846153846)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 710.0, 600.0)"
07-12-2022 18:39:49.715929,"(16.0, 24.0, 20.04)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.98, 2.94)","(21.0, 36.0, 34.8235294117647)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:39:50.780390,"(16.0, 24.0, 20.04)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.98, 2.94)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:39:51.800113,"(16.0, 24.0, 20.04)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.9266666666666667)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:39:52.898076,"(16.0, 24.0, 20.04)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.8885714285714283)","(21.0, 36.0, 34.46153846153846)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:39:54.132315,"(16.0, 23.0, 21.6)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.94, 2.913333333333333)","(21.0, 36.0, 33.77777777777778)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:39:55.334933,"(16.0, 23.0, 20.931818181818183)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.9266666666666667)","(21.0, 36.0, 34.46153846153846)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:39:56.672896,"(16.0, 23.0, 20.869565217391305)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.91)","(21.0, 36.0, 34.5)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:39:57.807137,"(16.0, 23.0, 20.931818181818183)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.882222222222222)","(21.0, 36.0, 35.0)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:39:58.966164,"(16.0, 23.0, 20.931818181818183)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.91)","(21.0, 36.0, 34.5)","(2.45, 2.48, 2.468)","(41.0, 60.0, 53.30434782608695)","(101.0, 650.0, 600.0)"
07-12-2022 18:40:00.130637,"(16.0, 23.0, 20.931818181818183)","(4.4, 9.2, 8.446153846153846)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.91)","(21.0, 36.0, 34.5)","(2.45, 2.48, 2.468)","(41.0, 60.0, 54.4)","(101.0, 650.0, 600.0)"
07-12-2022 18:40:01.727622,"(16.0, 23.0, 20.931818181818183)","(4.4, 9.2, 8.541176470588235)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.893333333333333)","(21.0, 36.0, 35.2)","(2.45, 2.48, 2.468)","(41.0, 60.0, 54.4)","(101.0, 650.0, 600.0)"
07-12-2022 18:40:02.838071,"(16.0, 23.0, 20.931818181818183)","(4.4, 9.0, 8.505882352941176)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.893333333333333)","(21.0, 36.0, 35.2)","(2.45, 2.48, 2.468)","(41.0, 60.0, 54.4)","(101.0, 650.0, 600.0)"
07-12-2022 18:40:04.186723,"(16.0, 23.0, 20.931818181818183)","(4.4, 9.0, 7.88)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.91)","(21.0, 36.0, 35.69230769230769)","(2.45, 2.48, 2.4725)","(41.0, 60.0, 54.4)","(101.0, 650.0, 600.0)"
07-12-2022 18:40:05.340468,"(16.0, 23.0, 20.931818181818183)","(4.4, 8.8, 8.383333333333333)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.91)","(21.0, 40.0, 37.0)","(2.4, 2.48, 2.4725)","(41.0, 60.0, 54.4)","(101.0, 650.0, 600.0)"
07-12-2022 18:40:06.467649,"(16.0, 23.0, 20.931818181818183)","(4.4, 8.8, 8.1125)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.882222222222222)","(21.0, 38.0, 33.44)","(2.4, 2.48, 2.4714285714285715)","(41.0, 60.0, 54.4)","(101.0, 650.0, 600.0)"
07-12-2022 18:40:07.730963,"(16.0, 23.0, 20.931818181818183)","(4.4, 8.6, 8.485714285714286)","(19.0, 23.0, 22.235955056179776)","(2.15, 2.96, 2.9)","(21.0, 38.0, 34.70422535211267)","(2.4, 2.48, 2.468)","(41.0, 60.0, 54.4)","(101.0, 650.0, 593.75)"
07-12-2022 18:40:08.950216,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.6, 8.485714285714286)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.96, 2.928)","(21.0, 38.0, 34.630136986301366)","(2.25, 2.48, 2.472)","(41.0, 60.0, 54.666666666666664)","(101.0, 650.0, 593.75)"
07-12-2022 18:40:10.375913,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.6, 8.057142857142857)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.96, 2.9228571428571426)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.472)","(41.0, 60.0, 54.666666666666664)","(101.0, 650.0, 593.75)"
07-12-2022 18:40:11.580275,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.8, 8.057142857142857)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.98, 2.9228571428571426)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.472)","(41.0, 60.0, 54.666666666666664)","(101.0, 650.0, 593.75)"
07-12-2022 18:40:12.886875,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.8, 8.057142857142857)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.98, 2.9163636363636365)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.46)","(41.0, 60.0, 54.666666666666664)","(101.0, 650.0, 596.6666666666666)"
07-12-2022 18:40:14.081001,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.8, 8.057142857142857)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.98, 2.9299999999999997)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.46)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:15.481047,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.8, 8.057142857142857)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.98, 2.9299999999999997)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.473076923076923)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:16.772404,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.8, 8.04)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.98, 2.9299999999999997)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.473076923076923)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:18.011366,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.8, 8.04)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.98, 2.9466666666666668)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.473076923076923)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:19.389702,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.8, 8.04)","(19.0, 23.0, 22.235955056179776)","(2.2, 2.98, 2.9299999999999997)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.473076923076923)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:20.650721,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.6, 8.094736842105263)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.98, 2.9299999999999997)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.475)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:21.835117,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.6, 8.094736842105263)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.98, 2.9299999999999997)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.48, 2.475)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:23.028931,"(16.0, 23.0, 20.931818181818183)","(5.0, 8.4, 8.014285714285714)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.98, 2.905)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.56, 2.535)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:24.284923,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 8.133333333333333)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.98, 2.891111111111111)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.52, 2.49)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:25.561031,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 8.014285714285714)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.98, 2.905)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.52, 2.49)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:26.918303,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 8.133333333333333)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.96, 2.9)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.52, 2.505)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:28.149051,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 8.014285714285714)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.94, 2.8866666666666667)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.52, 2.513333333333333)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:29.317720,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 8.014285714285714)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.94, 2.87)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.52, 2.51)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:30.498689,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 8.03076923076923)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.94, 2.87)","(21.0, 38.0, 34.48571428571429)","(2.25, 2.54, 2.5345454545454547)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:31.668812,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 8.175)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.94, 2.8899999999999997)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.54, 2.545)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:32.719375,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 8.072727272727272)","(19.0, 23.0, 22.227272727272727)","(2.2, 2.94, 2.8899999999999997)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.56, 2.545)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:33.842125,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 23.0, 22.217391304347824)","(2.2, 2.94, 2.8899999999999997)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.56, 2.5533333333333332)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:34.932795,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 23.0, 22.2)","(2.2, 2.94, 2.8899999999999997)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.56, 2.5533333333333332)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:36.148103,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 23.0, 22.2)","(2.2, 2.94, 2.8899999999999997)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.56, 2.545)","(41.0, 60.0, 54.4)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:37.391610,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 24.0, 23.90909090909091)","(2.2, 2.94, 2.8899999999999997)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.56, 2.54)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:38.509749,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 24.0, 23.90909090909091)","(2.2, 2.94, 2.9066666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.58, 2.54)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:39.582029,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 24.0, 23.90909090909091)","(2.2, 2.94, 2.858181818181818)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.58, 2.55)","(41.0, 60.0, 54.666666666666664)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:40.699926,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 24.0, 23.935483870967744)","(2.2, 2.94, 2.9066666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.58, 2.55)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:41.804360,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 24.0, 23.935483870967744)","(2.2, 2.94, 2.9066666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.58, 2.55)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:42.950809,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(19.0, 24.0, 23.935483870967744)","(2.2, 2.94, 2.9066666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.58, 2.55)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:44.011469,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(18.0, 24.0, 23.935483870967744)","(2.2, 2.94, 2.9066666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.58, 2.55)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:45.137216,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(18.0, 24.0, 23.935483870967744)","(2.2, 2.94, 2.9066666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.58, 2.54)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 596.6666666666666)"
07-12-2022 18:40:46.279278,"(16.0, 23.0, 21.104166666666668)","(5.0, 8.4, 7.9875)","(18.0, 24.0, 23.935483870967744)","(2.2, 2.94, 2.9066666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.6, 2.588)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:47.339883,"(16.0, 23.0, 20.652173913043477)","(5.0, 8.4, 8.014285714285714)","(18.0, 24.0, 23.935483870967744)","(2.2, 2.94, 2.908)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.62, 2.588)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:48.384090,"(16.0, 23.0, 20.652173913043477)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.94, 2.931111111111111)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.62, 2.5685714285714285)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:49.431370,"(16.0, 23.0, 20.652173913043477)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.94, 2.9225)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.62, 2.58)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:50.490416,"(16.0, 23.0, 20.652173913043477)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.94, 2.9225)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.62, 2.58)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:51.596094,"(16.0, 23.0, 20.652173913043477)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.94, 2.9225)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.62, 2.58)","(41.0, 60.0, 53.91304347826087)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:52.698765,"(16.0, 23.0, 20.789473684210527)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.94, 2.833333333333333)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.62, 2.5685714285714285)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:53.758074,"(16.0, 23.0, 20.789473684210527)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.92, 2.829090909090909)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.62, 2.5685714285714285)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:54.770367,"(16.0, 23.0, 20.681818181818183)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.9, 2.8466666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.62, 2.58)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:55.857103,"(16.0, 23.0, 20.31578947368421)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.9, 2.811111111111111)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.66, 2.626666666666667)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:56.990021,"(16.0, 23.0, 20.45)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.88, 2.8499999999999996)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.66, 2.6541176470588237)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:58.107173,"(16.0, 23.0, 20.166666666666668)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.945945945945947)","(2.2, 2.9, 2.8421052631578947)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.68, 2.626666666666667)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:40:59.230210,"(16.0, 23.0, 20.166666666666668)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.945945945945947)","(2.2, 2.9, 2.8666666666666667)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.68, 2.64)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
07-12-2022 18:41:00.302218,"(16.0, 23.0, 20.796296296296298)","(5.0, 8.4, 7.905882352941177)","(18.0, 24.0, 23.95)","(2.2, 2.88, 2.864)","(21.0, 38.0, 34.351351351351354)","(2.25, 2.68, 2.64)","(41.0, 60.0, 53.63636363636364)","(101.0, 710.0, 567.1428571428571)"
