,Dr Earnie,Little Amelia,Bombers Reward,Slingshot Queen,Dr Audrey,Dr Boone,Dr Cinny,Good Chat Sam
07-12-2022 18:38:12.159979,"(17.0, 24.0, 21.272727272727273)","(4.2, 10.0, 9.45)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.1, 3.0183333333333335)","(21.0, 27.0, 25.75)","(2.5, 2.48, 2.4673684210526314)","(41.0, 65.0, 51.63636363636364)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:13.247201,"(17.0, 24.0, 21.272727272727273)","(4.2, 10.5, 8.75)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.1, 3.004)","(21.0, 27.0, 25.75)","(2.5, 2.48, 2.45)","(41.0, 65.0, 56.6875)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:14.219189,"(17.0, 24.0, 21.272727272727273)","(4.2, 10.5, 8.484)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.1, 2.992)","(21.0, 27.0, 25.75)","(2.5, 2.48, 2.4299999999999997)","(41.0, 65.0, 53.1)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:15.257541,"(17.0, 24.0, 21.272727272727273)","(4.2, 9.8, 9.100000000000001)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.1, 3.004)","(21.0, 27.0, 25.75)","(2.5, 2.48, 2.3692307692307693)","(41.0, 65.0, 53.1)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:16.271693,"(17.0, 24.0, 21.272727272727273)","(4.2, 9.8, 9.100000000000001)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.1, 3.004)","(21.0, 27.0, 25.75)","(2.5, 2.48, 2.3692307692307693)","(41.0, 65.0, 53.1)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:17.306806,"(17.0, 24.0, 21.272727272727273)","(4.2, 9.8, 9.100000000000001)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.1, 2.902)","(21.0, 27.0, 25.75)","(2.5, 2.46, 2.4428571428571426)","(41.0, 65.0, 53.1)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:18.300416,"(17.0, 24.0, 21.272727272727273)","(4.2, 9.8, 9.100000000000001)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.1, 2.9699999999999998)","(21.0, 27.0, 25.75)","(2.5, 2.46, 2.4529411764705884)","(41.0, 65.0, 53.1)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:19.254328,"(17.0, 24.0, 21.272727272727273)","(4.2, 9.8, 9.100000000000001)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.15, 2.9699999999999998)","(21.0, 27.0, 25.75)","(2.5, 2.46, 2.4529411764705884)","(41.0, 65.0, 53.1)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:20.310826,"(17.0, 24.0, 21.272727272727273)","(4.2, 10.0, 8.6)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.15, 2.955)","(21.0, 27.0, 25.75)","(2.5, 2.46, 2.4529411764705884)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:21.431366,"(17.0, 24.0, 21.272727272727273)","(4.2, 10.0, 8.933333333333334)","(21.0, 27.0, 25.47222222222222)","(2.0, 3.1, 3.0633333333333335)","(21.0, 27.0, 26.23076923076923)","(2.5, 2.46, 2.4507692307692306)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:22.470642,"(17.0, 24.0, 21.272727272727273)","(4.2, 10.0, 9.2)","(21.0, 27.0, 25.166666666666668)","(2.0, 3.1, 2.9447058823529413)","(21.0, 27.0, 26.23076923076923)","(2.5, 2.48, 2.4266666666666667)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:23.458730,"(17.0, 24.0, 23.26829268292683)","(4.2, 10.0, 9.2)","(21.0, 27.0, 25.166666666666668)","(2.0, 3.1, 2.9299999999999997)","(21.0, 48.0, 42.5)","(2.5, 2.48, 2.3876923076923076)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:24.464211,"(17.0, 24.0, 23.26829268292683)","(4.2, 10.0, 9.2)","(21.0, 27.0, 25.166666666666668)","(2.0, 3.1, 2.9299999999999997)","(21.0, 48.0, 42.5)","(2.5, 2.48, 2.3876923076923076)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:25.457269,"(17.0, 24.0, 23.285714285714285)","(4.2, 9.6, 9.0)","(21.0, 27.0, 23.639344262295083)","(2.0, 3.1, 2.913333333333333)","(21.0, 46.0, 40.285714285714285)","(2.5, 2.48, 2.3858823529411763)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 548.75)"
07-12-2022 18:38:26.442216,"(17.0, 24.0, 23.285714285714285)","(4.2, 9.6, 9.0)","(21.0, 27.0, 23.612903225806452)","(2.0, 3.1, 2.913333333333333)","(21.0, 36.0, 28.88888888888889)","(2.5, 2.46, 2.428888888888889)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 592.5)"
07-12-2022 18:38:27.559046,"(17.0, 24.0, 21.545454545454547)","(4.2, 9.6, 8.442857142857143)","(21.0, 27.0, 23.612903225806452)","(2.0, 3.1, 2.913333333333333)","(21.0, 36.0, 28.666666666666668)","(2.5, 2.46, 2.4345454545454546)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 597.1052631578948)"
07-12-2022 18:38:28.613274,"(17.0, 24.0, 22.57894736842105)","(4.2, 9.6, 8.475)","(21.0, 27.0, 23.612903225806452)","(2.0, 3.05, 2.98625)","(21.0, 36.0, 28.666666666666668)","(2.5, 2.46, 2.4345454545454546)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 597.1052631578948)"
07-12-2022 18:38:29.618081,"(17.0, 24.0, 22.57894736842105)","(4.2, 9.6, 8.475)","(21.0, 27.0, 23.612903225806452)","(2.0, 3.05, 2.98625)","(21.0, 36.0, 28.666666666666668)","(2.5, 2.46, 2.4345454545454546)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 597.1052631578948)"
07-12-2022 18:38:30.570687,"(17.0, 24.0, 22.57894736842105)","(4.2, 9.6, 8.75)","(21.0, 27.0, 23.612903225806452)","(2.0, 3.0, 2.98)","(21.0, 36.0, 28.666666666666668)","(2.5, 2.46, 2.4345454545454546)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 492.5)"
07-12-2022 18:38:31.527092,"(17.0, 24.0, 22.57894736842105)","(4.2, 9.6, 8.75)","(21.0, 27.0, 23.612903225806452)","(2.0, 3.0, 2.98)","(21.0, 36.0, 28.666666666666668)","(2.5, 2.46, 2.4345454545454546)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 492.5)"
07-12-2022 18:38:32.543898,"(17.0, 24.0, 22.57894736842105)","(4.2, 9.6, 8.75)","(21.0, 27.0, 23.612903225806452)","(2.0, 3.0, 2.98)","(21.0, 36.0, 28.666666666666668)","(2.5, 2.46, 2.4345454545454546)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 567.2727272727273)"
07-12-2022 18:38:33.528162,"(17.0, 24.0, 22.57894736842105)","(4.2, 9.6, 8.941935483870967)","(21.0, 27.0, 23.612903225806452)","(2.0, 3.0, 2.98)","(21.0, 36.0, 28.666666666666668)","(2.5, 2.46, 2.4345454545454546)","(41.0, 65.0, 53.916666666666664)","(101.0, 610.0, 567.2727272727273)"
07-12-2022 18:38:34.552692,"(17.0, 24.0, 22.071428571428573)","(4.2, 9.6, 8.775)","(21.0, 27.0, 23.58730158730159)","(2.0, 3.0, 2.904)","(21.0, 36.0, 32.5)","(2.5, 2.46, 2.4466666666666668)","(41.0, 65.0, 54.75)","(101.0, 610.0, 567.2727272727273)"
07-12-2022 18:38:35.507397,"(17.0, 24.0, 22.071428571428573)","(4.2, 9.4, 8.775)","(21.0, 27.0, 23.58730158730159)","(2.0, 3.0, 2.904)","(21.0, 36.0, 32.5)","(2.5, 2.46, 2.4466666666666668)","(41.0, 60.0, 54.75)","(101.0, 610.0, 567.2727272727273)"
07-12-2022 18:38:36.511107,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.844444444444445)","(21.0, 26.0, 25.80952380952381)","(2.0, 3.0, 2.905)","(21.0, 36.0, 33.59375)","(2.5, 2.46, 2.4466666666666668)","(41.0, 65.0, 53.1)","(101.0, 610.0, 553.75)"
07-12-2022 18:38:37.492316,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.844444444444445)","(21.0, 26.0, 25.80952380952381)","(2.0, 3.0, 2.905)","(21.0, 36.0, 33.59375)","(2.5, 2.46, 2.4466666666666668)","(41.0, 65.0, 53.1)","(101.0, 610.0, 553.75)"
07-12-2022 18:38:38.478119,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.844444444444445)","(21.0, 26.0, 25.80952380952381)","(2.0, 3.0, 2.905)","(21.0, 36.0, 33.59375)","(2.5, 2.46, 2.4466666666666668)","(41.0, 65.0, 53.1)","(101.0, 610.0, 569.090909090909)"
07-12-2022 18:38:39.484378,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.844444444444445)","(21.0, 26.0, 24.424242424242426)","(2.0, 3.0, 2.905)","(21.0, 36.0, 33.59375)","(2.5, 2.46, 2.4466666666666668)","(41.0, 65.0, 53.1)","(101.0, 610.0, 569.090909090909)"
07-12-2022 18:38:40.572114,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 9.0)","(21.0, 26.0, 24.424242424242426)","(2.0, 3.0, 2.92)","(21.0, 36.0, 33.59375)","(2.5, 2.46, 2.452758620689655)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 556.25)"
07-12-2022 18:38:41.574189,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.700000000000001)","(21.0, 25.0, 23.5)","(2.0, 3.0, 2.92)","(21.0, 36.0, 33.59375)","(2.5, 2.46, 2.452758620689655)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 556.25)"
07-12-2022 18:38:42.690094,"(17.0, 24.0, 21.923076923076923)","(4.2, 9.4, 8.643243243243244)","(21.0, 25.0, 23.5)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.452758620689655)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 556.25)"
