,Appealing Road,Awesome Moon,Odina,Jumpin Jack Brass,Jubaslilballerina,Ellies At Windsor,S S Frontier Angel,Grey Flamingo,Van Hook,La Maddalena
07-01-2023 11:33:13.618417,"(17.0, 36.0, 33.0)","(31.0, 90.0, 74.44444444444444)","(18.0, 28.0, 26.0)","(2.1, 2.26, 2.240487804878049)","(21.0, 60.0, 55.333333333333336)","(21.0, 60.0, 48.0)","(41.0, 230.0, 152.5)","(11.0, 18.0, 17.25)","(3.6, 5.5, 5.411111111111111)","(4.8, 5.7, 5.18)"
07-01-2023 11:33:15.177923,"(17.0, 36.0, 33.0)","(31.0, 90.0, 74.44444444444444)","(18.0, 28.0, 28.333333333333332)","(2.1, 2.26, 2.240487804878049)","(21.0, 60.0, 56.5)","(21.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.464285714285715)","(3.6, 5.5, 5.36969696969697)","(4.8, 5.7, 5.44)"
07-01-2023 11:33:16.970304,"(17.0, 36.0, 32.25)","(31.0, 90.0, 76.0)","(18.0, 29.0, 28.555555555555557)","(2.1, 2.26, 2.240487804878049)","(21.0, 60.0, 54.0)","(21.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.464285714285715)","(3.6, 5.6, 5.36969696969697)","(4.8, 5.7, 5.44)"
07-01-2023 11:33:19.063603,"(17.0, 34.0, 31.2)","(31.0, 90.0, 76.0)","(18.0, 29.0, 28.555555555555557)","(2.1, 2.26, 2.240487804878049)","(21.0, 60.0, 54.0)","(21.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.464285714285715)","(3.6, 5.6, 5.36969696969697)","(4.8, 5.7, 5.44)"
07-01-2023 11:33:21.156545,"(17.0, 34.0, 28.166666666666668)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.714285714285715)","(2.1, 2.26, 2.239220779220779)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.450980392156863)","(4.6, 5.7, 5.528947368421052)"
07-01-2023 11:33:22.807993,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 27.736842105263158)","(2.1, 2.26, 2.25)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 155.0)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.304545454545455)","(4.6, 5.7, 5.528947368421052)"
07-01-2023 11:33:24.416007,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.0)","(2.1, 2.28, 2.2515151515151515)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 155.0)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.4, 5.336842105263158)","(4.6, 5.7, 5.558695652173913)"
07-01-2023 11:33:26.033837,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.0)","(2.1, 2.26, 2.2515151515151515)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 155.0)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.4, 5.252941176470588)","(4.6, 5.7, 5.5285714285714285)"
07-01-2023 11:33:27.735289,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.0)","(2.1, 2.26, 2.2515151515151515)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 155.0)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.3, 5.329411764705883)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:29.382089,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.0)","(2.1, 2.26, 2.2515151515151515)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 126.66666666666666)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.4, 5.420754716981132)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:30.954650,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.0)","(2.1, 2.26, 2.2529999999999997)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 152.5)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.420754716981132)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:32.483052,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.0)","(2.1, 2.26, 2.2529999999999997)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 152.5)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.342857142857143)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:34.050619,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.0)","(2.1, 2.26, 2.2529999999999997)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 171.66666666666669)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.4, 5.420754716981132)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:35.693018,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.25)","(2.1, 2.26, 2.257183098591549)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 220.0, 171.66666666666669)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.420754716981132)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:37.184466,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.6)","(2.1, 2.26, 2.2564285714285712)","(21.0, 60.0, 54.0)","(26.0, 60.0, 57.83333333333333)","(41.0, 220.0, 171.66666666666669)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.011111111111111)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:38.709039,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.6)","(2.1, 2.26, 2.2564285714285712)","(21.0, 60.0, 54.0)","(26.0, 60.0, 57.83333333333333)","(41.0, 220.0, 147.5)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.3, 5.0115384615384615)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:40.170234,"(17.0, 34.0, 27.91304347826087)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.6)","(2.1, 2.26, 2.2562962962962962)","(21.0, 60.0, 54.0)","(26.0, 60.0, 57.83333333333333)","(41.0, 220.0, 171.66666666666669)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.3, 5.22)","(4.6, 5.7, 5.34)"
07-01-2023 11:33:41.591526,"(17.0, 34.0, 27.333333333333332)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.5)","(2.1, 2.26, 2.272972972972973)","(21.0, 60.0, 55.333333333333336)","(26.0, 60.0, 57.83333333333333)","(41.0, 220.0, 147.5)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.04)","(4.6, 5.7, 5.046666666666667)"
07-01-2023 11:33:43.036581,"(17.0, 34.0, 26.38095238095238)","(31.0, 90.0, 76.0)","(19.0, 29.0, 28.5)","(2.1, 2.3, 2.28046511627907)","(21.0, 60.0, 57.2)","(26.0, 60.0, 48.0)","(41.0, 220.0, 130.0)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.05)","(4.6, 5.7, 5.323076923076923)"
07-01-2023 11:33:44.609385,"(17.0, 34.0, 25.818181818181817)","(31.0, 90.0, 73.33333333333333)","(19.0, 29.0, 28.5)","(2.1, 2.3, 2.292222222222222)","(21.0, 60.0, 57.2)","(26.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.464285714285715)","(3.7, 5.6, 5.05)","(4.6, 5.7, 5.323076923076923)"
07-01-2023 11:33:46.018716,"(17.0, 34.0, 25.818181818181817)","(31.0, 90.0, 73.33333333333333)","(19.0, 29.0, 28.5)","(2.1, 2.3, 2.26327868852459)","(21.0, 60.0, 55.333333333333336)","(26.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.423076923076923)","(3.7, 5.6, 5.05)","(4.6, 5.7, 5.323076923076923)"
07-01-2023 11:33:47.340129,"(17.0, 34.0, 25.818181818181817)","(31.0, 90.0, 71.81818181818181)","(19.0, 29.0, 28.5)","(2.1, 2.28, 2.2606153846153845)","(21.0, 60.0, 55.333333333333336)","(26.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.423076923076923)","(3.7, 5.6, 5.05)","(4.6, 5.7, 5.257894736842105)"
07-01-2023 11:33:48.710177,"(17.0, 34.0, 25.818181818181817)","(31.0, 90.0, 73.33333333333333)","(19.0, 29.0, 28.555555555555557)","(2.1, 2.28, 2.2606153846153845)","(21.0, 60.0, 55.333333333333336)","(26.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.423076923076923)","(3.7, 5.6, 5.05)","(4.6, 5.7, 5.257894736842105)"
07-01-2023 11:33:50.160088,"(17.0, 34.0, 25.818181818181817)","(31.0, 90.0, 73.33333333333333)","(19.0, 29.0, 28.555555555555557)","(2.1, 2.28, 2.2761702127659573)","(21.0, 60.0, 55.333333333333336)","(26.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.423076923076923)","(3.7, 5.6, 5.016666666666667)","(4.6, 5.7, 5.257894736842105)"
07-01-2023 11:33:51.528997,"(17.0, 34.0, 25.818181818181817)","(31.0, 90.0, 73.33333333333333)","(19.0, 29.0, 28.0)","(2.1, 2.28, 2.2761702127659573)","(21.0, 60.0, 54.0)","(26.0, 60.0, 48.0)","(41.0, 230.0, 130.0)","(11.0, 18.0, 17.423076923076923)","(3.7, 5.3, 5.022222222222222)","(4.6, 5.7, 5.3)"
