,Keayang Shakenbake,Pennies Following,Keilah Nz,Royal Cadence,Chemical Reactor,Moneymakinmonkey,Mariahs Shadow
0,"[datetime.datetime(2022, 11, 28, 13, 6, 11, 153055), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 11, 153055), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 11, 153055), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 11, 153055), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 11, 153055), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 11, 153055), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 11, 153055), 21.0, 55.0]"
1,"[datetime.datetime(2022, 11, 28, 13, 6, 12, 323791), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 12, 323791), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 12, 323791), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 12, 323791), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 12, 323791), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 12, 323791), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 12, 323791), 21.0, 55.0]"
2,"[datetime.datetime(2022, 11, 28, 13, 6, 13, 496255), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 13, 496255), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 13, 496255), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 13, 496255), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 13, 496255), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 13, 496255), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 13, 496255), 21.0, 55.0]"
3,"[datetime.datetime(2022, 11, 28, 13, 6, 14, 663738), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 14, 663738), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 14, 663738), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 14, 663738), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 14, 663738), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 14, 663738), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 14, 663738), 21.0, 55.0]"
4,"[datetime.datetime(2022, 11, 28, 13, 6, 15, 875151), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 15, 875151), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 15, 875151), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 15, 875151), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 15, 875151), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 15, 875151), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 15, 875151), 21.0, 55.0]"
5,"[datetime.datetime(2022, 11, 28, 13, 6, 17, 41276), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 17, 41276), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 17, 41276), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 17, 41276), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 17, 41276), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 17, 41276), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 17, 41276), 21.0, 55.0]"
6,"[datetime.datetime(2022, 11, 28, 13, 6, 18, 205734), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 18, 205734), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 18, 205734), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 18, 205734), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 18, 205734), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 18, 205734), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 18, 205734), 21.0, 55.0]"
7,"[datetime.datetime(2022, 11, 28, 13, 6, 19, 365921), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 19, 365921), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 19, 365921), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 19, 365921), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 19, 365921), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 19, 365921), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 19, 365921), 21.0, 55.0]"
8,"[datetime.datetime(2022, 11, 28, 13, 6, 20, 525992), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 20, 525992), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 20, 525992), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 20, 525992), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 20, 525992), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 20, 525992), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 20, 525992), 21.0, 55.0]"
9,"[datetime.datetime(2022, 11, 28, 13, 6, 21, 688474), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 6, 21, 688474), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 13, 6, 21, 688474), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 13, 6, 21, 688474), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 13, 6, 21, 688474), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 13, 6, 21, 688474), 1.7, 2.56]","[datetime.datetime(2022, 11, 28, 13, 6, 21, 688474), 21.0, 55.0]"
