,Sabreur Nz,Animal,Mr Kiwi Nz,Secret Operation,Bee Gees Bandit,Clarenden Envoy
0,"[datetime.datetime(2022, 11, 28, 13, 43, 30, 801319), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 801319), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 801319), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 801319), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 801319), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 30, 801319), 3.4, 5.6]"
1,"[datetime.datetime(2022, 11, 28, 13, 43, 31, 957238), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 957238), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 957238), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 957238), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 957238), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 31, 957238), 3.4, 5.6]"
2,"[datetime.datetime(2022, 11, 28, 13, 43, 33, 96305), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 96305), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 96305), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 96305), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 96305), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 33, 96305), 3.4, 5.6]"
3,"[datetime.datetime(2022, 11, 28, 13, 43, 34, 241822), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 241822), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 241822), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 241822), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 241822), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 34, 241822), 3.4, 5.6]"
4,"[datetime.datetime(2022, 11, 28, 13, 43, 35, 386017), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 35, 386017), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 35, 386017), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 35, 386017), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 35, 386017), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 35, 386017), 3.4, 5.6]"
5,"[datetime.datetime(2022, 11, 28, 13, 43, 36, 525157), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 525157), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 525157), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 525157), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 525157), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 36, 525157), 3.4, 5.6]"
6,"[datetime.datetime(2022, 11, 28, 13, 43, 37, 673456), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 673456), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 673456), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 673456), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 673456), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 37, 673456), 3.4, 5.6]"
7,"[datetime.datetime(2022, 11, 28, 13, 43, 38, 825360), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 825360), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 825360), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 825360), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 825360), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 38, 825360), 3.4, 5.6]"
8,"[datetime.datetime(2022, 11, 28, 13, 43, 39, 977309), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 977309), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 977309), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 977309), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 977309), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 39, 977309), 3.4, 5.6]"
9,"[datetime.datetime(2022, 11, 28, 13, 43, 41, 119184), 19.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 41, 119184), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 13, 43, 41, 119184), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 13, 43, 41, 119184), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 13, 43, 41, 119184), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 13, 43, 41, 119184), 3.4, 5.6]"
