,My Girl Mandy,Shakatie,Our Ruby Rose,Crossed Legs,Beyonski,Jet Force,Wild About Town,Jelignite Jack,Teachers Pet
12-01-2023 15:27:10.151309,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.9375)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:11.524218,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.9375)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:12.843749,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.9375)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:14.140248,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.9375)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:15.409462,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.9375)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:16.714903,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.9375)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:17.981898,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.9375)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:19.314908,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.9375)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:20.624099,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:22.019408,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
12-01-2023 15:27:23.441880,"(14.0, 30.0, 27.57142857142857)","(3.1, 4.6, 4.555)","(11.0, 19.5, 15.25)","(8.0, 13.5, 12.991666666666667)","(21.0, 48.0, 40.375)","(6.0, 10.5, 9.066666666666666)","(31.0, 85.0, 66.33333333333334)","(7.0, 11.5, 9.933333333333334)","(3.2, 4.9, 4.876)"
