,Colden Mandella,Yallaroo,Mepunga Robyn,Carry On Jack,Escape Way,Lily Luna Potter,Pick Star,Moraine Chloe
07-01-2023 16:57:33.836111,"(3.7, 8.6, 8.266666666666666)","(4.6, 6.4, 6.3388888888888895)","(2.9, 3.4, 3.341666666666667)","(11.0, 13.0, 10.65)","(7.5, 12.0, 11.625)","(61.0, 440.0, 378.3333333333333)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 285.2941176470588)"
07-01-2023 16:57:35.062765,"(3.7, 8.6, 8.266666666666666)","(4.6, 6.4, 6.3388888888888895)","(2.9, 3.4, 3.341666666666667)","(11.0, 13.5, 10.65)","(7.5, 12.0, 11.625)","(61.0, 440.0, 378.3333333333333)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 285.2941176470588)"
07-01-2023 16:57:36.355364,"(3.7, 8.6, 8.3)","(4.6, 6.4, 6.3388888888888895)","(2.9, 3.4, 3.2558823529411764)","(11.0, 13.5, 11.340909090909092)","(7.5, 12.0, 10.0)","(61.0, 440.0, 378.3333333333333)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 285.2941176470588)"
07-01-2023 16:57:37.431224,"(3.7, 8.6, 8.3)","(4.6, 6.4, 6.3388888888888895)","(2.9, 3.4, 3.2558823529411764)","(11.0, 13.5, 11.340909090909092)","(7.5, 12.0, 10.944444444444445)","(61.0, 440.0, 378.3333333333333)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 150.0)"
07-01-2023 16:57:38.449503,"(3.7, 8.6, 8.45)","(4.6, 6.4, 5.9)","(2.9, 3.4, 3.2558823529411764)","(11.0, 13.5, 11.125)","(7.5, 11.5, 10.944444444444445)","(61.0, 440.0, 378.3333333333333)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 150.0)"
07-01-2023 16:57:39.438317,"(3.7, 8.6, 8.36923076923077)","(4.6, 6.4, 5.9)","(2.9, 3.4, 3.2558823529411764)","(11.0, 13.5, 11.125)","(7.5, 11.5, 10.944444444444445)","(61.0, 440.0, 378.3333333333333)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 150.0)"
07-01-2023 16:57:40.434754,"(3.7, 8.6, 8.399999999999999)","(4.6, 6.4, 5.9)","(2.9, 3.4, 3.2558823529411764)","(11.0, 13.5, 11.125)","(7.5, 11.5, 10.944444444444445)","(61.0, 440.0, 378.3333333333333)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 150.0)"
07-01-2023 16:57:41.654500,"(3.7, 8.6, 8.399999999999999)","(4.6, 6.4, 5.9)","(2.9, 3.4, 3.2558823529411764)","(11.0, 13.5, 11.125)","(7.5, 11.5, 10.944444444444445)","(61.0, 440.0, 292.0)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 150.0)"
07-01-2023 16:57:42.736367,"(3.7, 8.6, 8.377777777777776)","(4.6, 6.4, 5.9)","(2.9, 3.4, 3.276470588235294)","(11.0, 13.5, 11.125)","(7.5, 11.5, 10.75)","(61.0, 440.0, 215.83333333333334)","(4.4, 6.4, 6.130188679245283)","(91.0, 550.0, 150.0)"
07-01-2023 16:57:43.833975,"(3.7, 9.2, 8.964705882352941)","(4.6, 6.4, 5.9)","(2.9, 3.4, 3.276470588235294)","(11.0, 13.5, 11.125)","(7.5, 11.5, 10.75)","(61.0, 420.0, 186.66666666666666)","(4.4, 6.4, 6.135185185185185)","(91.0, 550.0, 150.0)"
07-01-2023 16:57:44.872338,"(3.7, 9.2, 8.964705882352941)","(4.6, 6.4, 5.9)","(2.9, 3.4, 3.283333333333333)","(11.0, 13.5, 11.125)","(7.5, 11.5, 10.75)","(61.0, 420.0, 186.66666666666666)","(4.4, 6.4, 6.135185185185185)","(91.0, 550.0, 150.0)"
07-01-2023 16:57:45.917575,"(3.7, 9.2, 8.964705882352941)","(4.6, 6.4, 5.9)","(2.9, 3.4, 3.283333333333333)","(11.0, 13.5, 11.125)","(7.5, 11.5, 10.75)","(61.0, 420.0, 186.66666666666666)","(4.4, 6.4, 6.135185185185185)","(91.0, 550.0, 150.0)"
