,Maxs Magic,Super Keen,Winlock Apples,Monkey Paw,Als Holiday,Skylah,Winlock One Out
05-01-2023 15:07:18.395675,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:19.385923,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:20.349060,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:21.375019,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:22.334128,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:23.357331,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:24.337426,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:25.342502,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:26.344844,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:27.418302,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:28.490002,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:29.458168,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:30.395198,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
05-01-2023 15:07:31.346909,"(3.3, 4.7, 3.611290322580645)","(2.7, 4.4, 2.8726666666666665)","(10.0, 28.0, 17.666666666666668)","(3.0, 4.1, 3.26875)","(41.0, 220.0, 74.36363636363637)","(16.0, 42.0, 23.81818181818182)","(9.0, 24.0, 14.0)"
