,Freddy Mac,Vested Interest,Shalily,Son Of Bielski,Red Stiletto,Langworthy,Five Ounce,Ruby Edition,Barossa Kiss,Keck,Sarwatte
10-01-2023 14:26:14.482436,"(4.4, 6.0, 5.909708737864078)","(3.5, 3.85, 3.735036496350365)","(5.0, 7.8, 7.985)","(7.5, 8.4, 8.447524752475248)","(11.0, 14.5, 14.057692307692308)","(15.0, 21.0, 20.2)","(5.5, 6.4, 6.294063926940639)","(61.0, 100.0, 96.0)","(71.0, 130.0, 116.92307692307692)","(31.0, 40.0, 39.92727272727273)","(101.0, 1000.0, 940.0)"
10-01-2023 14:26:15.946740,"(4.4, 6.0, 5.909708737864078)","(3.6, 3.75, 3.764925373134328)","(6.0, 8.0, 7.966153846153846)","(7.5, 8.6, 8.447524752475248)","(11.0, 14.5, 14.057692307692308)","(15.0, 21.0, 20.2)","(5.5, 6.4, 6.316384180790961)","(61.0, 100.0, 96.0)","(71.0, 130.0, 118.27586206896552)","(31.0, 40.0, 39.92727272727273)","(101.0, 1000.0, 974.0)"
10-01-2023 14:26:17.346671,"(4.4, 6.0, 5.907462686567165)","(3.6, 3.8, 3.764925373134328)","(6.0, 8.0, 7.961194029850747)","(7.5, 8.6, 8.447524752475248)","(11.0, 14.5, 14.020833333333334)","(15.0, 21.0, 20.2)","(5.5, 6.4, 6.316384180790961)","(61.0, 100.0, 96.0)","(71.0, 130.0, 118.27586206896552)","(31.0, 40.0, 39.92727272727273)","(101.0, 1000.0, 948.0)"
10-01-2023 14:26:18.833633,"(4.4, 6.0, 5.9)","(3.6, 3.8, 3.755238095238095)","(6.0, 8.0, 7.977049180327869)","(7.5, 8.6, 8.418823529411766)","(11.0, 14.5, 14.115384615384615)","(15.0, 21.0, 20.714285714285715)","(5.5, 6.4, 6.328654970760234)","(61.0, 100.0, 96.0)","(71.0, 130.0, 118.88888888888889)","(31.0, 40.0, 39.92727272727273)","(101.0, 1000.0, 948.0)"
10-01-2023 14:26:20.339780,"(4.4, 5.9, 5.852229299363057)","(3.6, 3.8, 3.7183168316831683)","(6.0, 8.0, 7.996774193548387)","(7.5, 8.6, 8.496103896103897)","(11.0, 14.5, 14.088235294117647)","(15.0, 21.0, 20.714285714285715)","(5.5, 6.4, 6.328654970760234)","(61.0, 100.0, 96.0)","(71.0, 130.0, 118.88888888888889)","(31.0, 40.0, 40.651162790697676)","(101.0, 1000.0, 948.0)"
10-01-2023 14:26:21.960083,"(4.4, 5.9, 5.804458598726115)","(3.6, 3.75, 3.724342105263158)","(6.0, 8.0, 7.979775280898877)","(7.5, 8.6, 8.545794392523364)","(11.0, 14.5, 12.60077519379845)","(15.0, 21.0, 21.25)","(5.5, 6.4, 6.348603351955307)","(61.0, 100.0, 96.11111111111111)","(71.0, 130.0, 119.62962962962963)","(31.0, 42.0, 40.75675675675676)","(101.0, 1000.0, 948.0)"
10-01-2023 14:26:23.422434,"(4.4, 5.9, 5.813684210526316)","(3.6, 3.75, 3.77258064516129)","(6.0, 8.0, 8.016666666666666)","(7.5, 8.6, 8.572340425531914)","(11.0, 13.0, 13.21875)","(15.0, 22.0, 21.05)","(5.5, 6.4, 6.482568807339449)","(61.0, 100.0, 96.11111111111111)","(71.0, 130.0, 118.46153846153847)","(31.0, 42.0, 40.88235294117647)","(101.0, 1000.0, 948.0)"
10-01-2023 14:26:24.944305,"(4.4, 5.8, 5.735555555555556)","(3.6, 3.8, 3.77258064516129)","(6.0, 8.2, 8.0)","(7.5, 8.6, 8.572340425531914)","(11.0, 14.0, 13.25)","(15.0, 22.0, 21.073170731707318)","(5.5, 6.6, 6.482568807339449)","(61.0, 100.0, 96.11111111111111)","(71.0, 130.0, 118.88888888888889)","(31.0, 42.0, 41.10344827586207)","(101.0, 1000.0, 948.0)"
10-01-2023 14:26:26.450257,"(4.6, 5.8, 5.729203539823009)","(3.5, 3.8, 3.77801724137931)","(6.0, 8.2, 7.961111111111111)","(7.5, 8.6, 8.579527559055117)","(11.0, 14.0, 13.38888888888889)","(15.0, 22.0, 21.073170731707318)","(5.5, 6.6, 6.5703125)","(61.0, 100.0, 96.11111111111111)","(71.0, 130.0, 120.625)","(31.0, 42.0, 40.94736842105263)","(101.0, 1000.0, 948.0)"
10-01-2023 14:26:27.966489,"(4.6, 5.7, 5.69541547277937)","(3.5, 3.8, 3.774621212121212)","(6.0, 8.0, 7.967441860465116)","(7.5, 8.6, 8.579527559055117)","(11.0, 13.5, 13.38888888888889)","(15.0, 22.0, 21.05)","(5.5, 6.6, 6.588535031847133)","(61.0, 100.0, 96.11111111111111)","(71.0, 130.0, 120.83333333333333)","(31.0, 42.0, 40.421052631578945)","(101.0, 1000.0, 910.0)"
10-01-2023 14:26:29.524414,"(4.6, 5.7, 5.692777777777778)","(3.5, 3.8, 3.7734375)","(6.0, 8.0, 8.048275862068966)","(7.5, 8.6, 8.579527559055117)","(11.0, 13.5, 13.089285714285714)","(15.0, 22.0, 21.047619047619047)","(5.5, 6.6, 6.548571428571428)","(61.0, 100.0, 96.11111111111111)","(71.0, 130.0, 120.83333333333333)","(31.0, 42.0, 39.80952380952381)","(101.0, 990.0, 910.0)"
10-01-2023 14:26:31.123556,"(4.6, 5.7, 5.697093023255814)","(3.5, 3.8, 3.7737654320987652)","(6.0, 8.2, 7.933333333333334)","(7.5, 8.6, 8.579527559055117)","(11.0, 13.5, 13.075757575757576)","(15.0, 22.0, 21.047619047619047)","(5.5, 6.6, 6.575675675675676)","(61.0, 100.0, 96.11111111111111)","(71.0, 130.0, 123.52941176470588)","(31.0, 40.0, 40.714285714285715)","(101.0, 990.0, 910.0)"
10-01-2023 14:26:32.662898,"(4.6, 5.7, 5.697093023255814)","(3.6, 3.8, 3.7737654320987652)","(6.0, 8.0, 7.925)","(7.5, 8.6, 8.579527559055117)","(11.0, 13.5, 13.075757575757576)","(15.0, 22.0, 21.047619047619047)","(5.5, 6.6, 6.579661016949152)","(61.0, 100.0, 96.42857142857143)","(71.0, 130.0, 123.52941176470588)","(31.0, 42.0, 40.0)","(101.0, 990.0, 910.0)"
10-01-2023 14:26:34.469389,"(4.6, 5.7, 5.7090000000000005)","(3.6, 3.8, 3.780409356725146)","(6.0, 8.0, 8.026415094339622)","(7.5, 8.6, 8.585915492957746)","(11.0, 13.5, 13.011627906976743)","(15.0, 22.0, 21.433333333333334)","(5.5, 6.6, 6.5574257425742575)","(61.0, 100.0, 97.27272727272727)","(71.0, 130.0, 124.0)","(31.0, 42.0, 39.904761904761905)","(101.0, 990.0, 910.0)"
10-01-2023 14:26:36.181350,"(4.6, 5.8, 5.698525073746313)","(3.6, 3.8, 3.8108910891089107)","(6.0, 8.2, 8.023728813559321)","(7.5, 8.6, 8.585915492957746)","(11.0, 13.5, 12.932432432432432)","(15.0, 22.0, 21.296296296296298)","(5.5, 6.6, 6.55)","(61.0, 100.0, 98.18181818181819)","(71.0, 130.0, 124.0)","(31.0, 42.0, 39.904761904761905)","(101.0, 990.0, 910.0)"
10-01-2023 14:26:37.751800,"(4.6, 5.7, 5.520895522388059)","(3.6, 3.85, 3.823369565217391)","(6.0, 8.2, 8.023728813559321)","(7.5, 8.6, 8.585915492957746)","(11.0, 13.5, 13.043478260869565)","(15.0, 22.0, 21.428571428571427)","(5.5, 6.6, 6.588)","(61.0, 100.0, 96.42857142857143)","(71.0, 130.0, 124.0)","(31.0, 42.0, 39.904761904761905)","(101.0, 990.0, 910.0)"
10-01-2023 14:26:39.311777,"(4.6, 5.6, 5.494871794871795)","(3.6, 3.85, 3.8194915254237287)","(6.0, 8.2, 8.03265306122449)","(7.5, 8.6, 8.585915492957746)","(11.0, 13.5, 12.98611111111111)","(15.0, 22.0, 21.46875)","(5.5, 6.6, 6.657142857142857)","(61.0, 100.0, 91.0)","(71.0, 130.0, 124.0)","(31.0, 42.0, 40.27450980392157)","(101.0, 990.0, 975.0)"
10-01-2023 14:26:40.871045,"(4.6, 5.5, 5.492857142857143)","(3.6, 3.85, 3.8194915254237287)","(6.0, 8.2, 8.066666666666666)","(7.5, 8.6, 8.548314606741572)","(11.0, 13.0, 12.826530612244898)","(15.0, 22.0, 21.26086956521739)","(5.5, 6.8, 6.704504504504504)","(61.0, 100.0, 91.42857142857143)","(71.0, 130.0, 124.0)","(31.0, 42.0, 40.416666666666664)","(101.0, 990.0, 975.0)"
10-01-2023 14:26:42.430693,"(4.8, 5.5, 5.591666666666667)","(3.6, 3.85, 3.8194915254237287)","(6.0, 8.2, 8.075862068965517)","(7.5, 8.6, 8.544578313253012)","(11.0, 13.0, 12.80232558139535)","(15.0, 22.0, 21.1864406779661)","(5.5, 6.8, 6.700869565217391)","(61.0, 100.0, 90.9090909090909)","(71.0, 130.0, 124.0)","(31.0, 42.0, 39.8125)","(101.0, 1000.0, 996.6666666666666)"
10-01-2023 14:26:43.960145,"(4.8, 5.6, 5.591666666666667)","(3.6, 3.85, 3.8194915254237287)","(6.0, 8.2, 8.036363636363635)","(7.5, 8.6, 8.544578313253012)","(11.0, 13.0, 12.757142857142856)","(15.0, 22.0, 21.1864406779661)","(5.5, 6.8, 6.756390977443608)","(61.0, 100.0, 90.9090909090909)","(71.0, 130.0, 124.0)","(31.0, 42.0, 39.8125)","(101.0, 1000.0, 8489.166666666666)"
10-01-2023 14:26:45.450222,"(4.8, 5.6, 5.556)","(3.6, 3.85, 3.8264705882352943)","(6.0, 8.2, 8.043478260869565)","(7.5, 8.6, 8.544578313253012)","(11.0, 13.0, 12.657142857142857)","(15.0, 22.0, 21.04)","(5.5, 6.8, 6.835849056603774)","(61.0, 100.0, 90.9090909090909)","(71.0, 130.0, 123.15789473684211)","(31.0, 42.0, 39.8125)","(101.0, 99999, 8489.166666666666)"
