,Mr Blitz,Filorga Bale,Im Indigo,Pablos Star,Clever Trevor,Gypsy Warrior,Mrs Watson
09-01-2023 17:39:43.453275,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 113.75)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.475)","(8.5, 16.5, 14.538461538461538)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:44.525731,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 113.75)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.475)","(8.5, 16.5, 14.538461538461538)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:45.620451,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 113.75)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.475)","(8.5, 16.5, 14.538461538461538)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:46.979628,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 113.75)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.475)","(8.5, 16.5, 14.538461538461538)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:48.036126,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 113.75)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.475)","(8.5, 16.5, 14.538461538461538)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:49.160739,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.475)","(8.5, 16.5, 14.538461538461538)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:50.368734,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.475)","(8.5, 16.5, 14.538461538461538)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:51.641290,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.475)","(8.5, 16.5, 14.538461538461538)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:52.740971,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.290909090909091)","(8.5, 16.5, 14.0)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:53.822398,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.290909090909091)","(8.5, 17.0, 14.0)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:54.925905,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.290909090909091)","(8.5, 17.0, 14.0)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:55.977387,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.290909090909091)","(8.5, 17.0, 14.0)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:57.072063,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.290909090909091)","(8.5, 17.0, 14.0)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:58.140958,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.290909090909091)","(8.5, 17.0, 14.631578947368421)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:39:59.224224,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.290909090909091)","(8.5, 17.0, 12.222222222222221)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
09-01-2023 17:40:00.314929,"(2.35, 2.38, 2.3670588235294114)","(26.0, 260.0, 93.57142857142857)","(3.1, 5.0, 3.3966666666666665)","(7.0, 14.5, 12.290909090909091)","(8.5, 17.0, 12.222222222222221)","(31.0, 340.0, 88.33333333333334)","(4.4, 8.2, 4.906666666666667)"
