,Bronze Lady,Lucky Lockett,Hallelujah Baby,Get My Point,Shes Fancy Like,A Rousing Babe,Hot Link,Raucous Tizzy,Standforgrit,Mo Town Gal
07-01-2023 09:28:15.313544,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 18.2)","(3.1, 6.0, 5.228571428571428)","(20.0, 220.0, 118.25)","(3.0, 5.6, 4.28)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 13.0, 10.236363636363636)"
07-01-2023 09:28:16.564127,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 21.0)","(3.1, 5.8, 4.5)","(20.0, 220.0, 118.25)","(3.0, 5.8, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 13.0, 11.48)"
07-01-2023 09:28:17.871715,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 21.0)","(3.1, 5.8, 4.5)","(20.0, 220.0, 118.25)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 13.0, 11.48)"
07-01-2023 09:28:19.132887,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 18.25)","(3.1, 5.8, 4.5)","(20.0, 220.0, 118.25)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 13.0, 11.48)"
07-01-2023 09:28:20.483003,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 17.0)","(3.1, 5.8, 4.5)","(20.0, 220.0, 118.25)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 13.0, 11.18)"
07-01-2023 09:28:21.788261,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 17.0)","(3.1, 5.8, 4.5)","(20.0, 220.0, 118.25)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:23.107805,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 17.0)","(3.1, 5.8, 4.5)","(20.0, 220.0, 118.25)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:24.422383,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 17.0)","(3.1, 5.8, 4.5)","(20.0, 220.0, 118.25)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:25.693977,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 17.0)","(3.1, 5.8, 4.09375)","(20.0, 220.0, 118.25)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:26.913594,"(14.0, 29.0, 19.1)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 17.0)","(3.1, 5.8, 4.09375)","(20.0, 220.0, 118.25)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 18.375)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:28.141639,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 20.0)","(3.1, 5.8, 4.09375)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 24.0, 17.8)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:29.459470,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.0, 10.200000000000001)","(13.0, 26.0, 20.0)","(3.1, 5.7, 4.433333333333334)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 23.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:30.845867,"(14.0, 29.0, 22.142857142857142)","(8.0, 12.5, 11.266666666666667)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.433333333333334)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:32.153854,"(14.0, 29.0, 22.142857142857142)","(8.0, 12.5, 11.266666666666667)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.433333333333334)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:33.389988,"(14.0, 29.0, 22.142857142857142)","(8.0, 11.5, 10.825)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.433333333333334)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:34.598520,"(14.0, 29.0, 22.142857142857142)","(8.0, 12.0, 10.276923076923078)","(13.0, 26.0, 20.0)","(3.1, 5.6, 5.085714285714285)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:35.905681,"(14.0, 29.0, 22.142857142857142)","(8.0, 12.0, 10.276923076923078)","(13.0, 26.0, 20.0)","(3.1, 5.6, 5.085714285714285)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:37.178931,"(14.0, 29.0, 22.142857142857142)","(8.0, 12.0, 10.276923076923078)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.433333333333334)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:38.436223,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 11.933333333333334)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.433333333333334)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 162.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:39.659614,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.433333333333334)","(20.0, 220.0, 180.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 200.0, 154.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:40.907518,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.433333333333334)","(20.0, 210.0, 172.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 190.0, 154.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:42.268311,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.2)","(20.0, 210.0, 172.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 190.0, 154.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:43.758367,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.6, 4.366666666666667)","(20.0, 210.0, 172.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 190.0, 154.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:45.048476,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.4, 4.366666666666667)","(20.0, 210.0, 172.0)","(3.0, 5.7, 4.8)","(12.0, 32.0, 23.6)","(19.0, 190.0, 154.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:46.312735,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.4, 4.366666666666667)","(20.0, 210.0, 172.0)","(3.0, 5.7, 4.1571428571428575)","(12.0, 32.0, 107.75)","(19.0, 190.0, 154.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:47.506477,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.4, 4.366666666666667)","(20.0, 210.0, 172.0)","(3.0, 5.7, 4.1571428571428575)","(12.0, 140.0, 107.75)","(19.0, 190.0, 154.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:48.771396,"(14.0, 29.0, 22.142857142857142)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.4, 4.366666666666667)","(20.0, 210.0, 172.0)","(3.0, 5.5, 4.7)","(12.0, 140.0, 107.75)","(19.0, 190.0, 154.1)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:50.067289,"(14.0, 26.0, 23.11111111111111)","(8.0, 13.5, 10.96923076923077)","(13.0, 26.0, 20.0)","(3.1, 5.4, 4.957142857142857)","(20.0, 210.0, 172.0)","(3.0, 5.5, 4.85)","(12.0, 140.0, 107.75)","(19.0, 190.0, 167.5625)","(18.0, 22.0, 18.333333333333332)","(7.0, 12.5, 11.18)"
07-01-2023 09:28:51.416788,"(14.0, 26.0, 17.666666666666668)","(8.0, 13.5, 10.35)","(13.0, 26.0, 17.9)","(3.1, 5.4, 4.966666666666667)","(20.0, 210.0, 115.5)","(3.0, 5.8, 4.171428571428572)","(12.0, 140.0, 97.16666666666667)","(19.0, 190.0, 172.1)","(18.0, 22.0, 18.666666666666668)","(7.0, 12.5, 11.26)"
