,Sirius Thinking,Garside To Excel,Blinks Princess,Leonidas,Mighty Kristy,Crab,Sublime Dallas,Tanyas Babe
07-12-2022 13:29:08.183967,"(8.0, 22.0, 11.166666666666666)","(2.2, 2.74, 2.718468899521531)","(61.0, 420.0, 124.16666666666666)","(1.6, 2.68, 2.255)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 40.5)","(19.0, 70.0, 38.75)"
07-12-2022 13:29:09.329495,"(8.0, 22.0, 11.166666666666666)","(2.2, 2.74, 2.718468899521531)","(61.0, 420.0, 124.16666666666666)","(1.6, 2.68, 1.9480555555555557)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:10.570828,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:11.922529,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:13.265550,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:14.578296,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:15.802259,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:17.039317,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:18.310608,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
07-12-2022 13:29:19.455595,"(8.0, 22.0, 20.333333333333332)","(2.2, 2.74, 2.7254545454545456)","(61.0, 420.0, 124.16666666666666)","(1.6, 1.83, 1.821388888888889)","(71.0, 570.0, 350.0)","(41.0, 340.0, 149.71428571428572)","(21.0, 60.0, 36.666666666666664)","(19.0, 70.0, 40.0)"
