,Torque To The Max,The Crom,Risky Buziness,Furiosa,Perfect Feeling,Fly Cheval,La Pistola,Eagles Response,Mister Woodport,Bee Gees Best
10-01-2023 14:30:30.714271,"(11.0, 13.0, 12.071428571428571)","(21.0, 34.0, 30.666666666666668)","(10.0, 12.5, 11.789473684210526)","(11.0, 15.0, 14.333333333333334)","(18.0, 30.0, 27.333333333333332)","(13.0, 20.0, 19.25)","(51.0, 100.0, 85.0)","(11.0, 17.5, 16.833333333333332)","(3.9, 4.4, 4.230909090909091)","(2.3, 2.98, 2.9345454545454546)"
10-01-2023 14:30:32.036653,"(11.0, 12.5, 12.071428571428571)","(21.0, 34.0, 30.666666666666668)","(10.0, 12.5, 11.789473684210526)","(11.0, 14.5, 14.333333333333334)","(18.0, 30.0, 27.0)","(13.0, 20.0, 19.25)","(51.0, 100.0, 87.5)","(11.0, 17.5, 16.833333333333332)","(3.9, 4.4, 4.230909090909091)","(2.3, 2.98, 2.9345454545454546)"
10-01-2023 14:30:33.393029,"(11.0, 12.5, 12.071428571428571)","(21.0, 34.0, 30.666666666666668)","(10.0, 12.5, 11.789473684210526)","(11.0, 14.5, 14.5)","(18.0, 30.0, 28.5)","(13.0, 20.0, 19.25)","(51.0, 100.0, 123.63636363636363)","(11.0, 17.5, 16.833333333333332)","(3.9, 4.4, 4.230909090909091)","(2.3, 2.98, 2.960769230769231)"
10-01-2023 14:30:34.719992,"(11.0, 12.5, 12.071428571428571)","(21.0, 34.0, 30.666666666666668)","(10.0, 12.5, 11.789473684210526)","(11.0, 15.0, 14.5)","(18.0, 30.0, 29.0)","(13.0, 20.0, 18.8)","(51.0, 140.0, 108.0)","(11.0, 17.5, 16.833333333333332)","(3.9, 4.4, 4.230909090909091)","(2.3, 2.98, 2.960769230769231)"
10-01-2023 14:30:36.056892,"(11.0, 12.5, 11.652173913043478)","(21.0, 38.0, 29.9)","(10.0, 12.5, 11.789473684210526)","(11.0, 16.0, 15.333333333333334)","(18.0, 30.0, 29.0)","(13.0, 20.0, 18.8)","(51.0, 140.0, 108.0)","(11.0, 17.5, 16.833333333333332)","(3.9, 4.4, 4.230909090909091)","(2.3, 2.98, 2.956470588235294)"
10-01-2023 14:30:37.432382,"(11.0, 12.5, 11.525)","(21.0, 36.0, 30.0)","(10.0, 12.5, 11.789473684210526)","(11.0, 16.0, 15.333333333333334)","(18.0, 30.0, 30.0)","(13.0, 20.0, 18.8)","(51.0, 140.0, 108.0)","(11.0, 17.5, 16.833333333333332)","(3.9, 4.4, 4.230909090909091)","(2.3, 2.98, 2.9697435897435898)"
10-01-2023 14:30:38.849358,"(11.0, 12.5, 11.525)","(21.0, 36.0, 30.4)","(10.0, 12.5, 11.789473684210526)","(11.0, 16.0, 15.333333333333334)","(18.0, 32.0, 28.875)","(13.0, 20.0, 18.8)","(51.0, 140.0, 108.0)","(11.0, 17.5, 16.833333333333332)","(3.9, 4.4, 4.230909090909091)","(2.3, 2.98, 2.9697435897435898)"
10-01-2023 14:30:40.166433,"(11.0, 12.5, 11.525)","(21.0, 34.0, 30.666666666666668)","(10.0, 12.5, 11.789473684210526)","(11.0, 16.0, 15.333333333333334)","(19.0, 32.0, 28.875)","(13.0, 20.0, 18.8)","(51.0, 140.0, 120.0)","(11.0, 17.5, 16.833333333333332)","(3.9, 4.4, 4.235398230088496)","(2.3, 2.98, 2.9509090909090907)"
10-01-2023 14:30:41.516383,"(11.0, 12.5, 11.525)","(21.0, 34.0, 30.666666666666668)","(10.0, 12.5, 11.807692307692308)","(11.0, 14.0, 13.454545454545455)","(19.0, 32.0, 28.875)","(13.0, 20.0, 19.25)","(51.0, 130.0, 115.55555555555556)","(11.0, 17.5, 15.807692307692308)","(3.9, 4.4, 4.234188034188034)","(2.3, 2.98, 3.022)"
10-01-2023 14:30:42.855123,"(11.0, 12.5, 11.525)","(21.0, 34.0, 30.666666666666668)","(10.0, 12.5, 11.714285714285714)","(11.0, 14.5, 11.954545454545455)","(19.0, 32.0, 28.875)","(13.0, 20.0, 19.25)","(51.0, 120.0, 93.33333333333333)","(11.0, 17.5, 15.807692307692308)","(3.9, 4.4, 4.234188034188034)","(2.3, 3.05, 3.099009900990099)"
10-01-2023 14:30:44.145984,"(11.0, 12.5, 11.525)","(21.0, 34.0, 30.666666666666668)","(10.0, 12.5, 11.714285714285714)","(11.0, 14.5, 11.954545454545455)","(19.0, 32.0, 28.666666666666668)","(13.0, 20.0, 19.25)","(51.0, 110.0, 106.0)","(11.0, 17.5, 15.807692307692308)","(3.9, 4.4, 4.234188034188034)","(2.3, 3.1, 3.099009900990099)"
10-01-2023 14:30:45.441401,"(11.0, 12.5, 11.525)","(21.0, 36.0, 30.0)","(10.0, 12.5, 11.714285714285714)","(11.0, 14.0, 13.25)","(19.0, 32.0, 28.666666666666668)","(13.0, 20.0, 19.25)","(51.0, 110.0, 106.0)","(11.0, 17.5, 15.807692307692308)","(3.7, 4.4, 4.234188034188034)","(2.3, 3.1, 3.05)"
10-01-2023 14:30:46.796975,"(11.0, 12.5, 11.525)","(21.0, 36.0, 30.0)","(10.0, 12.5, 11.46)","(11.0, 14.0, 12.8)","(19.0, 32.0, 28.666666666666668)","(13.0, 20.0, 19.25)","(51.0, 110.0, 97.5)","(11.0, 17.5, 15.666666666666666)","(3.7, 4.4, 4.234188034188034)","(2.3, 3.1, 3.05)"
10-01-2023 14:30:48.174206,"(10.0, 12.5, 11.789473684210526)","(21.0, 34.0, 31.0)","(10.0, 11.5, 11.42)","(11.0, 14.0, 12.8)","(19.0, 32.0, 28.666666666666668)","(13.0, 20.0, 19.4)","(51.0, 110.0, 105.0)","(11.0, 17.5, 15.666666666666666)","(3.7, 4.4, 4.234188034188034)","(2.35, 3.1, 3.05)"
