,Stoker Ace,Mister Hart,Onlysbest,Quick Step Nz,Magicol Ideal Nz,Arts Peregrine,Gabbys Sportstar,October Racketeer,Watchful Lady,Mighty George Nz
06-01-2023 15:33:04.713949,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:06.026134,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:07.390762,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:08.628548,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:09.978399,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:11.285825,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:12.608366,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:13.912128,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:15.128429,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
06-01-2023 15:33:16.394797,"(2.6, 99999, 99990)","(31.0, 80.0, 60.0)","(5.5, 9.0, 8.15)","(14.0, 99999, 99990)","(19.0, 99999, 99990)","(9.0, 18.5, 15.333333333333332)","(17.0, 36.0, 26.0)","(5.5, 9.6, 7.733333333333333)","(7.5, 17.0, 10.933333333333334)","(6.0, 99999, 99990)"
