,Samson Power,Lees Tiger,Bundy Prize,Cake Is Good,Repeat Dose,Antonios Pride
0,"[datetime.datetime(2022, 11, 28, 19, 39, 22, 192834), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 22, 192834), 1.8, 2.26]","[datetime.datetime(2022, 11, 28, 19, 39, 22, 192834), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 22, 192834), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 22, 192834), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 22, 192834), 7.0, 12.5]"
1,"[datetime.datetime(2022, 11, 28, 19, 39, 23, 291136), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 23, 291136), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 23, 291136), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 23, 291136), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 23, 291136), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 23, 291136), 7.0, 12.5]"
2,"[datetime.datetime(2022, 11, 28, 19, 39, 24, 400761), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 24, 400761), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 24, 400761), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 24, 400761), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 24, 400761), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 24, 400761), 7.0, 12.5]"
3,"[datetime.datetime(2022, 11, 28, 19, 39, 25, 497531), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 25, 497531), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 25, 497531), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 25, 497531), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 25, 497531), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 25, 497531), 7.0, 12.5]"
4,"[datetime.datetime(2022, 11, 28, 19, 39, 26, 597409), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 26, 597409), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 26, 597409), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 26, 597409), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 26, 597409), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 26, 597409), 7.0, 12.5]"
5,"[datetime.datetime(2022, 11, 28, 19, 39, 27, 701050), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 27, 701050), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 27, 701050), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 27, 701050), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 27, 701050), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 27, 701050), 7.0, 12.5]"
6,"[datetime.datetime(2022, 11, 28, 19, 39, 28, 799417), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 28, 799417), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 28, 799417), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 28, 799417), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 28, 799417), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 28, 799417), 7.0, 12.5]"
7,"[datetime.datetime(2022, 11, 28, 19, 39, 29, 902912), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 29, 902912), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 29, 902912), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 29, 902912), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 29, 902912), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 29, 902912), 7.0, 12.5]"
8,"[datetime.datetime(2022, 11, 28, 19, 39, 31, 245), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 31, 245), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 31, 245), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 31, 245), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 31, 245), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 31, 245), 7.0, 12.5]"
9,"[datetime.datetime(2022, 11, 28, 19, 39, 32, 128304), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 32, 128304), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 32, 128304), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 32, 128304), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 32, 128304), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 32, 128304), 7.0, 12.5]"
10,"[datetime.datetime(2022, 11, 28, 19, 39, 33, 253799), 4.8, 7.8]","[datetime.datetime(2022, 11, 28, 19, 39, 33, 253799), 1.8, 2.28]","[datetime.datetime(2022, 11, 28, 19, 39, 33, 253799), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 19, 39, 33, 253799), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 19, 39, 33, 253799), 4.6, 8.8]","[datetime.datetime(2022, 11, 28, 19, 39, 33, 253799), 7.0, 12.5]"
