,Fast Liar,Kingsbrae Bear,Clover Athena,Integrity Angel,Liar For Hire,Backcreek Bingo,Fernando Diva
12-01-2023 13:16:50.170604,"(6.0, 9.6, 8.492307692307692)","(9.0, 17.5, 11.571428571428571)","(21.0, 95.0, 57.84615384615385)","(10.0, 18.0, 14.625)","(4.0, 5.0, 4.055555555555555)","(5.0, 8.4, 6.75)","(2.4, 3.8, 2.7416666666666667)"
12-01-2023 13:16:51.334540,"(6.0, 9.6, 8.492307692307692)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 57.84615384615385)","(10.0, 18.0, 14.625)","(4.0, 4.9, 4.055555555555555)","(5.0, 8.4, 6.75)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:16:52.483515,"(6.0, 9.6, 8.492307692307692)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 57.84615384615385)","(10.0, 18.0, 14.625)","(4.0, 4.9, 4.055555555555555)","(5.0, 8.4, 6.75)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:16:53.679440,"(6.0, 9.6, 7.822222222222222)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.9, 4.055555555555555)","(5.0, 8.4, 6.7)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:16:54.980542,"(6.0, 9.6, 8.783333333333333)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.9, 4.055555555555555)","(5.0, 8.2, 6.7)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:16:56.129566,"(6.0, 9.6, 8.783333333333333)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.9, 4.044444444444444)","(5.0, 8.2, 6.7)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:16:57.172639,"(6.0, 9.6, 8.783333333333333)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.8, 4.044444444444444)","(5.0, 8.2, 6.7)","(2.4, 3.75, 2.7416666666666667)"
12-01-2023 13:16:58.273375,"(6.0, 9.6, 8.783333333333333)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.8, 4.044444444444444)","(5.0, 8.2, 6.4)","(2.4, 3.75, 2.705714285714286)"
12-01-2023 13:16:59.428335,"(6.0, 9.6, 8.783333333333333)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.8, 4.044444444444444)","(5.0, 8.2, 6.4)","(2.4, 3.7, 2.91)"
12-01-2023 13:17:00.576496,"(6.0, 9.6, 7.85)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.8, 4.044444444444444)","(5.0, 8.2, 6.4)","(2.4, 3.65, 2.705714285714286)"
12-01-2023 13:17:01.700640,"(6.0, 9.6, 8.523076923076923)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.8, 4.044444444444444)","(5.0, 8.2, 6.4)","(2.4, 3.7, 2.705714285714286)"
12-01-2023 13:17:02.802012,"(6.0, 9.6, 8.523076923076923)","(9.0, 16.5, 13.541666666666668)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.8, 4.044444444444444)","(5.0, 8.2, 6.4)","(2.4, 3.7, 2.705714285714286)"
12-01-2023 13:17:03.921977,"(6.0, 9.6, 8.523076923076923)","(9.0, 16.5, 13.541666666666668)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.8, 4.033333333333333)","(5.0, 8.2, 6.4)","(2.4, 3.7, 2.705714285714286)"
12-01-2023 13:17:04.975163,"(6.0, 9.6, 8.523076923076923)","(9.0, 16.5, 13.541666666666668)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.7, 4.033333333333333)","(5.0, 8.2, 6.4)","(2.4, 3.7, 2.705714285714286)"
12-01-2023 13:17:06.272340,"(6.0, 9.6, 8.523076923076923)","(9.0, 16.5, 13.541666666666668)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.7, 4.033333333333333)","(5.0, 8.2, 6.4)","(2.4, 3.7, 2.705714285714286)"
12-01-2023 13:17:07.503664,"(6.0, 9.6, 8.523076923076923)","(9.0, 16.5, 11.571428571428571)","(21.0, 95.0, 46.7)","(10.0, 18.0, 14.625)","(4.0, 4.7, 4.033333333333333)","(5.0, 8.2, 6.4)","(2.4, 3.7, 3.17)"
