,Not Today,Turbo Worm,Wonder Woolly,Japanese Black,Stay Humble,Kitty Keen
12-01-2023 15:26:51.787897,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:26:52.831766,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:26:54.282472,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:26:55.411680,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:26:56.468753,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:26:57.427958,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:26:58.499712,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:26:59.600236,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:00.772162,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:01.812533,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:02.830311,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:04.014879,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:05.061243,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:06.112071,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:07.252221,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 23.0)","(15.0, 46.0, 32.59090909090909)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:08.265374,"(10.0, 27.0, 18.11111111111111)","(1.7, 1.97, 1.8478571428571429)","(18.0, 70.0, 38.125)","(13.0, 38.0, 32.0)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.948)"
12-01-2023 15:27:09.396659,"(10.0, 24.0, 20.875)","(1.7, 1.97, 1.9088)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:10.497026,"(10.0, 26.0, 18.75)","(1.7, 1.97, 1.9052)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:11.549737,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:12.660493,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:13.706454,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:14.742146,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:15.823906,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:16.876428,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:17.888372,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:19.068824,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:20.188080,"(10.0, 27.0, 16.666666666666668)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:21.113510,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:22.181791,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:23.346102,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:24.407639,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:25.401396,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:26.495632,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:27.626303,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:28.736093,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:29.758449,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
12-01-2023 15:27:30.784367,"(10.0, 27.0, 17.3125)","(1.7, 1.97, 1.8542857142857143)","(18.0, 70.0, 38.4375)","(13.0, 34.0, 31.5625)","(15.0, 46.0, 27.875)","(2.6, 2.96, 2.9478378378378376)"
