,The Cunning Fox,Deficit,Akihiro,Military Gambler,Ashgrove,Kiplings Journey,Mr Dudwey,Head Of State,Bulloo,Mishani Spartan,Tyresa,Gracie Blue,Circling
07-01-2023 16:59:59.404203,"(3.9, 4.5, 4.4380434782608695)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.725609756097562)","(20.0, 23.0, 22.857142857142858)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.851851851851855)","(71.0, 160.0, 144.4)","(8.0, 9.6, 9.512820512820513)","(21.0, 30.0, 28.40506329113924)","(17.0, 27.0, 24.967741935483872)","(7.0, 9.0, 8.924137931034483)","(91.0, 170.0, 150.0)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:01.143532,"(3.9, 4.5, 4.4380434782608695)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.729032258064516)","(20.0, 23.0, 22.857142857142858)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.84)","(71.0, 160.0, 144.4)","(8.0, 9.6, 9.475675675675674)","(21.0, 30.0, 28.40506329113924)","(17.0, 27.0, 25.071428571428573)","(7.0, 9.0, 8.935849056603773)","(91.0, 170.0, 150.0)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:02.630271,"(3.9, 4.5, 4.430487804878049)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.729032258064516)","(20.0, 23.0, 22.857142857142858)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.84)","(71.0, 160.0, 144.4)","(8.0, 9.6, 9.5)","(21.0, 30.0, 28.40506329113924)","(17.0, 27.0, 25.428571428571427)","(7.0, 9.0, 8.935849056603773)","(91.0, 170.0, 147.5)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:04.035695,"(3.9, 4.5, 4.433714285714286)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.723684210526315)","(20.0, 23.0, 22.857142857142858)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.84)","(71.0, 160.0, 144.4)","(8.0, 9.6, 9.391111111111112)","(21.0, 30.0, 28.40506329113924)","(17.0, 26.0, 25.2)","(7.0, 9.0, 8.696)","(91.0, 170.0, 147.5)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:05.605913,"(3.9, 4.5, 4.435911602209945)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.742331288343559)","(20.0, 23.0, 22.857142857142858)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.84)","(71.0, 160.0, 144.4)","(8.0, 9.4, 9.391111111111112)","(21.0, 30.0, 28.40506329113924)","(17.0, 26.0, 25.4)","(7.0, 9.0, 8.696)","(91.0, 170.0, 147.5)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:07.138135,"(3.9, 4.5, 4.435911602209945)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.742331288343559)","(20.0, 23.0, 22.857142857142858)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.84)","(71.0, 160.0, 144.4)","(8.0, 9.4, 9.391111111111112)","(21.0, 30.0, 28.38095238095238)","(17.0, 26.0, 25.4)","(7.0, 9.0, 8.908108108108108)","(91.0, 170.0, 147.5)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:08.751021,"(3.9, 4.5, 4.435911602209945)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.742331288343559)","(20.0, 23.0, 22.772727272727273)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.84)","(71.0, 160.0, 144.4)","(8.0, 9.4, 9.38857142857143)","(21.0, 30.0, 28.38095238095238)","(17.0, 26.0, 25.4)","(7.0, 9.0, 8.908108108108108)","(91.0, 170.0, 147.5)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:10.333386,"(3.9, 4.5, 4.435911602209945)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.742331288343559)","(20.0, 23.0, 22.772727272727273)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.84)","(71.0, 160.0, 144.4)","(8.0, 9.4, 9.38857142857143)","(21.0, 30.0, 28.38095238095238)","(17.0, 26.0, 25.4)","(7.0, 9.0, 8.870175438596492)","(91.0, 170.0, 147.5)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:12.090822,"(3.9, 4.5, 4.435911602209945)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.742331288343559)","(20.0, 23.0, 22.772727272727273)","(5.0, 5.8, 5.78)","(41.0, 46.0, 45.84)","(71.0, 160.0, 144.4)","(8.0, 9.4, 9.38857142857143)","(21.0, 30.0, 28.38095238095238)","(17.0, 26.0, 25.4)","(7.0, 9.0, 8.870175438596492)","(91.0, 170.0, 147.5)","(31.0, 34.0, 33.84615384615385)"
07-01-2023 17:00:14.241023,"(3.9, 4.5, 4.435911602209945)","(6.5, 8.8, 8.626086956521739)","(8.5, 11.0, 10.522727272727273)","(20.0, 23.0, 22.772727272727273)","(5.0, 5.8, 5.78)","(41.0, 46.0, 43.92)","(71.0, 160.0, 144.4)","(8.0, 9.4, 9.38857142857143)","(21.0, 30.0, 28.38095238095238)","(17.0, 26.0, 25.4)","(7.0, 9.0, 8.870175438596492)","(91.0, 170.0, 147.5)","(31.0, 34.0, 32.0)"
