,Hidden Radar,More Sensation,Polarizer,Stressful Hope,Showtime Caesar,Inconsequential,Urana Lot,Just Too Fancy
10-01-2023 20:11:25.671858,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:26.820708,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:27.963580,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:29.001986,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:30.003365,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:31.059927,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:32.108683,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:33.209643,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:34.386015,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
10-01-2023 20:11:35.495008,"(7.0, 18.0, 11.466666666666665)","(3.6, 4.9, 3.7636363636363637)","(8.0, 18.5, 11.792307692307691)","(3.8, 3.9, 3.81025641025641)","(7.0, 18.5, 11.675)","(6.0, 10.0, 7.449999999999999)","(8.0, 23.0, 15.5)","(13.0, 32.0, 20.88888888888889)"
