,Moment To Shake,Blessed Doll,Shian Pedro,Queen Maze,Shes Electric,My Time,Katchoo,Eddie Raider
11-01-2023 21:07:54.109516,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 22.666666666666664)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.9099999999999997)","(6.0, 18.5, 17.2375)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:07:55.216860,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 24.1)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.9099999999999997)","(6.0, 18.5, 17.2375)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:07:56.380749,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 24.1)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.9099999999999997)","(6.0, 18.5, 17.2375)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:07:57.611409,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.9099999999999997)","(6.0, 18.5, 17.2375)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:07:58.780218,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.9099999999999997)","(6.0, 18.5, 17.2375)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:07:59.954715,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.853125)","(6.0, 18.5, 17.2375)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:08:01.092316,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.853125)","(6.0, 18.5, 17.2375)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:08:02.151770,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.853125)","(6.0, 18.5, 17.2375)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:08:03.200691,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.853125)","(6.0, 18.5, 17.553846153846155)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:08:04.227519,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.853125)","(6.0, 18.5, 17.885)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:08:05.356554,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.853125)","(6.0, 18.5, 17.885)","(10.0, 18.5, 15.466666666666667)"
11-01-2023 21:08:06.490534,"(4.4, 6.8, 4.88)","(8.0, 14.0, 12.0)","(6.0, 10.0, 7.75)","(11.0, 34.0, 23.333333333333332)","(10.0, 19.0, 13.777777777777779)","(2.7, 3.95, 2.853125)","(6.0, 18.5, 17.885)","(10.0, 18.5, 15.466666666666667)"
