,Aston Harrison,Exclusively Mine,Low Planes,Way Up North,Jupiter Town,Flying Bella,Birdbrook
09-01-2023 11:55:00.018249,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(11.0, 30.0, 24.411764705882355)","(19.0, 48.0, 30.5)","(3.6, 5.8, 4.140322580645162)","(18.0, 95.0, 56.25)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:01.542053,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(11.0, 30.0, 24.411764705882355)","(19.0, 48.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(18.0, 95.0, 58.54166666666667)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:03.287296,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(11.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(18.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:04.631034,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(11.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(18.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:05.764768,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(11.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(18.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:06.994958,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:08.175478,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:09.357230,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:10.480187,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:11.532814,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:12.676119,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:13.746520,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:14.977648,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:16.122822,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:17.271881,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:18.397394,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
09-01-2023 11:55:19.570377,"(4.2, 8.4, 4.7250000000000005)","(5.5, 11.5, 6.010000000000001)","(12.0, 30.0, 24.411764705882355)","(19.0, 55.0, 33.611111111111114)","(3.6, 5.8, 4.140322580645162)","(17.0, 90.0, 69.02777777777777)","(2.4, 3.2, 2.7796610169491527)"
