,Entry Time,Donnie B,Red Hot Toddy,Icing,Hillbilly Rock,Mr Chance Romance
12-01-2023 12:00:56.761956,"(3.2, 6.8, 4.25)","(6.0, 23.0, 14.700000000000001)","(19.0, 150.0, 130.35714285714286)","(2.05, 2.68, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:00:57.789668,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 150.0, 130.35714285714286)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:00:58.842511,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 150.0, 130.35714285714286)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:00:59.911058,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 150.0, 130.35714285714286)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:01.115890,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 150.0, 130.35714285714286)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:02.208960,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 150.0, 130.35714285714286)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:03.188068,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 150.0, 130.35714285714286)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:04.117053,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:05.052202,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
12-01-2023 12:01:06.238126,"(3.2, 6.8, 4.273684210526316)","(6.0, 23.0, 14.700000000000001)","(19.0, 170.0, 147.5)","(2.05, 2.7, 2.446046511627907)","(41.0, 230.0, 129.5)","(5.5, 8.4, 6.525)"
