,Brinktop Lad,Freak On A Lead,Gee Gee True Story,Mr Freeze,Shampz Again,Ziavera,Nevs Boy,Swing King,Zades Stories,Magic Typhoon,Heavens Miracle,Renascence
06-01-2023 14:16:23.610103,"(11.0, 14.0, 12.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 34.0, 25.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:25.122426,"(11.0, 14.0, 12.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 34.0, 25.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:26.582631,"(11.0, 14.0, 12.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 34.0, 26.833333333333336)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:28.003860,"(11.0, 14.0, 12.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 26.833333333333336)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:29.472219,"(11.0, 14.0, 12.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 26.833333333333336)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:30.827972,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 26.833333333333336)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:32.274406,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:33.694086,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:35.089479,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.666666666666666)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 27.6)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:36.459596,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 17.5, 15.0)","(10.0, 17.5, 15.666666666666666)","(26.0, 36.0, 30.0)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:37.777611,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 24.0, 15.75)","(10.0, 17.5, 15.666666666666666)","(26.0, 34.0, 30.0)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:39.262348,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 18.0, 16.8)","(10.0, 17.5, 15.666666666666666)","(26.0, 34.0, 30.0)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:40.644535,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.409090909090907)","(11.0, 18.0, 16.8)","(10.0, 17.5, 15.666666666666666)","(26.0, 34.0, 30.0)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 160.0)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:42.299909,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.0)","(11.0, 18.0, 16.8)","(10.0, 17.5, 15.666666666666666)","(26.0, 34.0, 30.0)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 174.28571428571428)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
06-01-2023 14:16:43.665198,"(11.0, 14.0, 13.5)","(3.5, 4.4, 4.232608695652174)","(12.0, 18.5, 17.0)","(11.0, 18.0, 16.8)","(10.0, 17.5, 15.666666666666666)","(26.0, 34.0, 30.0)","(4.8, 6.0, 5.836363636363636)","(101.0, 210.0, 174.28571428571428)","(5.5, 9.6, 8.666666666666666)","(8.0, 11.0, 10.133333333333333)","(17.0, 32.0, 24.25)","(31.0, 150.0, 76.66666666666666)"
