,Remedy,Showtime Lydia,Fully Blessed,Joni Rudderless,Young Yank,Secret Hustle,Big Ram,Showtime Hannah
10-01-2023 18:41:47.105266,"(2.35, 3.45, 3.146666666666667)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 20.041666666666664)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.0, 16.043478260869566)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:48.397008,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 20.041666666666664)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.0, 16.043478260869566)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:49.438650,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 20.041666666666664)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.0, 16.043478260869566)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:50.421538,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 20.041666666666664)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.0, 16.043478260869566)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:51.439089,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 20.041666666666664)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.0, 16.043478260869566)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:52.575501,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 20.041666666666664)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.0, 16.043478260869566)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:53.720653,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 20.041666666666664)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.0, 15.375)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:54.953312,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 17.5, 15.333333333333334)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:56.064323,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:57.154379,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:58.268639,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:41:59.305462,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:00.384738,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 15.652173913043477)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:01.374277,"(2.35, 3.45, 3.383571428571429)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 17.5, 16.2)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:02.376995,"(2.35, 3.45, 3.146666666666667)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 17.0, 15.545454545454547)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:03.548321,"(2.35, 3.45, 3.146666666666667)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 17.0, 13.571428571428571)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:04.604041,"(2.35, 3.45, 3.146666666666667)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 17.0, 13.571428571428571)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:05.707899,"(2.35, 3.45, 3.146666666666667)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 17.0, 13.571428571428571)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:06.795099,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 17.0, 16.285714285714285)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:07.845801,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 17.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:08.844184,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:09.812612,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:10.801304,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:11.866466,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:12.880643,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:13.928334,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:14.943882,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:15.924817,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:16.871659,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:17.840174,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:18.853412,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
10-01-2023 18:42:19.863531,"(2.35, 3.45, 2.975)","(4.8, 7.8, 5.544444444444444)","(12.0, 32.0, 16.894736842105264)","(41.0, 290.0, 78.33333333333334)","(4.0, 8.2, 4.529411764705882)","(6.0, 16.0, 12.080000000000002)","(13.0, 18.5, 16.125)","(12.0, 26.0, 23.0)"
