,Hearts And Minds,Kazio,Demando,Coastal Town,Rich Memories,Playing It Safe,Laureus,Longtimedreaming,Mahrez,Golwen
08-12-2022 14:18:42.636275,"(8.0, 14.5, 12.0625)","(9.0, 8.2, 7.747368421052632)","(3.9, 5.2, 5.082926829268293)","(6.5, 8.4, 8.45217391304348)","(20.0, 40.0, 34.5)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.0, 7.9375)","(16.0, 24.0, 21.5)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:44.218762,"(8.0, 14.0, 11.727272727272727)","(9.0, 8.0, 7.747368421052632)","(3.9, 5.2, 5.082926829268293)","(6.5, 8.8, 8.45217391304348)","(20.0, 40.0, 34.5)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.0, 8.139393939393939)","(16.0, 22.0, 21.5)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:45.691080,"(8.0, 14.0, 13.578947368421053)","(9.0, 7.8, 7.568421052631579)","(3.9, 5.2, 5.082926829268293)","(6.5, 8.8, 8.45217391304348)","(20.0, 40.0, 39.08333333333333)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.075)","(16.0, 22.0, 21.5)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:47.368432,"(8.0, 14.0, 12.0)","(9.0, 7.8, 7.568421052631579)","(3.9, 5.2, 5.082926829268293)","(6.5, 8.8, 8.45217391304348)","(20.0, 40.0, 34.5)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.00952380952381)","(16.0, 22.0, 21.5)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:49.077994,"(8.0, 14.0, 12.0)","(9.0, 7.8, 7.858823529411764)","(3.9, 5.2, 5.082926829268293)","(6.5, 8.8, 8.466666666666667)","(20.0, 40.0, 39.0)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.00952380952381)","(16.0, 22.0, 21.5)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:50.503404,"(8.0, 14.0, 12.5)","(9.0, 8.0, 7.858823529411764)","(3.9, 5.2, 5.082926829268293)","(6.5, 8.8, 8.466666666666667)","(20.0, 40.0, 39.476190476190474)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.00952380952381)","(16.0, 22.0, 21.5)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:51.892994,"(8.0, 14.0, 12.5)","(9.0, 8.0, 7.858823529411764)","(3.9, 5.2, 5.082926829268293)","(6.5, 8.8, 8.466666666666667)","(20.0, 40.0, 39.476190476190474)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.00952380952381)","(16.0, 22.0, 21.5)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:53.246256,"(8.0, 14.0, 13.285714285714286)","(9.0, 8.0, 7.762962962962963)","(3.9, 5.2, 5.082926829268293)","(6.5, 8.8, 8.466666666666667)","(20.0, 40.0, 37.18181818181818)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.00952380952381)","(16.0, 22.0, 21.5)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:54.568574,"(8.0, 14.0, 13.583333333333334)","(8.5, 8.0, 7.762962962962963)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 38.0, 33.64705882352941)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.00952380952381)","(16.0, 22.0, 21.0)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:55.852291,"(8.0, 14.0, 12.666666666666666)","(8.5, 8.0, 7.852173913043478)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 36.0, 33.64705882352941)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.00952380952381)","(16.0, 22.0, 21.0)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
08-12-2022 14:18:57.247278,"(8.0, 14.5, 13.25)","(8.5, 8.0, 7.852173913043478)","(4.0, 5.2, 5.082926829268293)","(7.0, 8.8, 8.466666666666667)","(21.0, 36.0, 33.666666666666664)","(8.0, 11.0, 10.151515151515152)","(6.5, 8.2, 8.00952380952381)","(16.0, 22.0, 21.0)","(4.0, 5.4, 5.266666666666667)","(101.0, 310.0, 278.0)"
