,Class Of Twenty,Rosdue Swagman,Roulette,Miners Light,Sweet Babe,Diaz Herrera,Rocking The Ares,Worthy Explosion
09-01-2023 13:06:49.134988,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:50.285085,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:51.486417,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:52.887169,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:54.096096,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:55.151171,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:56.289766,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:57.378614,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:58.652246,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:06:59.772950,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:00.951265,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:02.033180,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:03.198100,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.4925000000000002)","(31.0, 320.0, 176.0)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:04.451555,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:05.665582,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:07.001344,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.6)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:08.216575,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:09.401084,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
09-01-2023 13:07:10.538735,"(8.0, 17.5, 14.785714285714286)","(41.0, 220.0, 70.0)","(7.0, 14.5, 12.3)","(6.5, 13.5, 11.528571428571428)","(12.0, 32.0, 28.2)","(1.35, 1.92, 1.5075)","(31.0, 320.0, 161.11111111111111)","(26.0, 90.0, 49.375)"
