,Goldstar Rita,Sefton Heights,Ava Effort,Deep Value,Tiggerlong Panda,Goldstar Linda,Adobe Kid,Goldstar Spencer
12-01-2023 14:34:39.274416,"(3.3, 9.8, 7.155555555555557)","(2.5, 3.3, 3.0083544303797467)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.366666666666667)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 99.5)"
12-01-2023 14:34:40.525679,"(3.3, 9.8, 7.155555555555557)","(2.5, 3.3, 3.0083544303797467)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.366666666666667)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 99.5)"
12-01-2023 14:34:41.796420,"(3.3, 9.8, 7.155555555555557)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.366666666666667)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 99.5)"
12-01-2023 14:34:43.059199,"(3.3, 9.8, 7.155555555555557)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.366666666666667)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 99.5)"
12-01-2023 14:34:44.268803,"(3.3, 9.8, 7.155555555555557)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.366666666666667)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 99.5)"
12-01-2023 14:34:45.397321,"(3.3, 9.8, 8.114285714285714)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.22916666666667)","(6.0, 12.5, 11.366666666666667)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 99.5)"
12-01-2023 14:34:46.688285,"(3.3, 9.8, 8.114285714285714)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:48.013410,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:49.281919,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
12-01-2023 14:34:50.439874,"(3.3, 9.8, 6.581818181818182)","(2.5, 3.3, 2.636470588235294)","(6.0, 24.0, 20.25)","(6.0, 12.5, 11.626086956521739)","(18.0, 140.0, 100.78125)","(15.0, 60.0, 53.214285714285715)","(7.0, 14.5, 13.419999999999998)","(21.0, 180.0, 90.27777777777777)"
