,Wise Counsel,Do It Right,Ocean Aura,Expelliarmus,Magic Whistle,Lets Erupt,Megami,Ran A Red Light,Belafonte Boy,Marlini,Nick Of Time,The White Witch,Vitai Lampada
14-12-2022 19:29:35.004630,"(4.0, 5.3, 5.075)","(12.0, 19.5, 17.571428571428573)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.6, 7.046153846153846)","(2.5, 2.7, 2.691304347826087)","(21.0, 32.0, 28.17391304347826)","(61.0, 260.0, 230.0)","(71.0, 310.0, 190.0)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:36.712645,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.6, 7.046153846153846)","(2.5, 2.7, 2.6900000000000004)","(21.0, 32.0, 28.17391304347826)","(61.0, 260.0, 230.0)","(71.0, 310.0, 262.0)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:38.299909,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.6, 7.046153846153846)","(2.5, 2.7, 2.6900000000000004)","(21.0, 32.0, 28.17391304347826)","(61.0, 260.0, 230.0)","(71.0, 310.0, 262.0)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:39.935967,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.6, 6.769230769230769)","(2.5, 2.7, 2.6900000000000004)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 262.0)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:41.541219,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.6, 7.109090909090909)","(2.5, 2.7, 2.6900000000000004)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 262.0)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:43.148568,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.4, 6.65)","(2.5, 2.7, 2.6900000000000004)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:44.644637,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.4, 6.720000000000001)","(2.5, 2.7, 2.6900000000000004)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:46.133656,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.2, 6.32)","(2.5, 2.7, 2.6900000000000004)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:47.635546,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.6, 6.32)","(2.5, 2.7, 2.6900000000000004)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:49.205201,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 10.428571428571429)","(5.5, 7.6, 6.32)","(2.5, 2.7, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:50.730822,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.15909090909091)","(5.5, 7.6, 6.32)","(2.5, 2.72, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:52.249326,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.15909090909091)","(5.5, 7.6, 6.32)","(2.5, 2.72, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 46.8)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:53.736904,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.15909090909091)","(5.5, 7.6, 6.32)","(2.5, 2.72, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 47.714285714285715)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:55.214796,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.15909090909091)","(5.5, 7.6, 6.32)","(2.5, 2.72, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 40.666666666666664)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:56.723305,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.15909090909091)","(5.5, 7.6, 6.32)","(2.5, 2.72, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 40.666666666666664)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:58.250104,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.15909090909091)","(5.5, 7.6, 6.32)","(2.5, 2.72, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 40.666666666666664)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:29:59.768656,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.15909090909091)","(5.5, 7.6, 6.32)","(2.5, 2.72, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 71.6)","(31.0, 50.0, 40.666666666666664)","(101.0, 310.0, 196.66666666666666)"
14-12-2022 19:30:01.231447,"(4.0, 5.3, 5.075)","(12.0, 19.5, 18.375)","(17.0, 27.0, 24.875)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.15909090909091)","(5.5, 7.6, 6.32)","(2.5, 2.72, 2.702857142857143)","(21.0, 32.0, 28.181818181818183)","(61.0, 260.0, 230.0)","(71.0, 310.0, 192.5)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:02.643380,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.46153846153846)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.12)","(5.5, 7.4, 6.969230769230769)","(2.5, 2.7, 2.6672727272727275)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
14-12-2022 19:30:04.059655,"(4.0, 5.3, 5.064285714285714)","(12.0, 19.5, 18.46153846153846)","(17.0, 27.0, 24.384615384615387)","(51.0, 220.0, 195.83333333333334)","(9.0, 11.5, 11.12)","(5.5, 7.4, 7.192592592592593)","(2.5, 2.7, 2.606666666666667)","(21.0, 32.0, 28.238805970149254)","(61.0, 260.0, 230.0)","(71.0, 310.0, 195.0)","(21.0, 80.0, 53.333333333333336)","(31.0, 50.0, 43.0)","(101.0, 310.0, 225.0)"
