,Rebel Boom,Chatty Mavis,Barbaras Angel,Off Grid,Goldstar Justice,Romeo,Maccys Girl,Regal Birdie
08-12-2022 13:29:36.077293,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:37.436317,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:38.675785,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:39.932991,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:41.290556,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:42.625350,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:43.971587,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:45.258259,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:46.626053,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:47.914185,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:49.100472,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:50.223948,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:51.377262,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:52.708404,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:53.849862,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 14.120000000000001)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:55.176674,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 15.0, 13.670000000000002)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:56.398327,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 14.5, 13.670000000000002)","(2.6, 4.7, 3.68)"
08-12-2022 13:29:57.726362,"(21.0, 250.0, 103.42857142857142)","(2.0, 3.15, 2.9576470588235293)","(14.0, 36.0, 32.64285714285714)","(14.0, 32.0, 30.090909090909093)","(31.0, 340.0, 165.0625)","(16.0, 150.0, 88.18181818181819)","(6.5, 14.5, 13.670000000000002)","(2.6, 4.7, 3.68)"
