,Henty,California Longbow,Champions League,Rura Penthe,Blazing Rebel,Concentric,Cable Dancer,Bishop Rock
08-01-2023 14:04:36.969501,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 39.4)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:38.108913,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 39.4)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:39.236136,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 39.4)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:40.439013,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 39.4)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:41.582627,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 39.4)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:42.597128,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 39.4)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:43.687766,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.125)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:44.793211,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.125)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:45.905055,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.125)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:47.076953,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.125)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:48.306015,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.125)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:49.456390,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 35.2)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:50.471297,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 35.2)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:51.615653,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 35.2)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:52.682691,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:53.777248,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:54.821095,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:55.830269,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:56.820108,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.93125)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:57.875113,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.576923076923077)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:59.019426,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.576923076923077)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:00.041043,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.576923076923077)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:01.096345,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.576923076923077)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:02.169515,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:03.297944,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:04.439202,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:05.521064,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 40.0)","(6.0, 10.5, 10.116666666666667)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:06.518032,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 28.0)","(6.0, 10.5, 8.61)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:07.570866,"(5.0, 6.4, 6.025)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 28.0)","(6.0, 10.5, 8.61)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:08.603229,"(5.0, 6.4, 6.025)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 28.0)","(6.0, 10.5, 8.61)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:09.698888,"(5.0, 6.4, 6.025)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 28.0)","(6.0, 10.5, 8.61)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:10.747880,"(5.0, 6.4, 6.025)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 28.0)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:11.770717,"(5.0, 6.4, 6.025)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 28.0)","(6.0, 10.5, 10.15)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:12.852400,"(5.0, 6.4, 6.025)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 28.0)","(6.0, 10.5, 10.15)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:13.932328,"(5.0, 6.4, 6.025)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 40.30769230769231)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:15.044860,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:16.184781,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:17.379849,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:18.475953,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:19.511554,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:20.489750,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 34.8)","(6.0, 10.5, 10.416)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
