,Friday Thirteenth,Manic Mia,Outlook,Parabellum,Tackas Last Dance,Maywyns Honey,Zacharooni,Melati Boy,Tulhurst Blaster,Flirts Diva
05-01-2023 14:37:47.544420,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:48.930450,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:50.334878,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:51.682333,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:53.151698,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:54.528569,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:55.930755,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:57.359946,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:58.642970,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 27.75)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:37:59.878612,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 66.6923076923077)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:38:01.226182,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 66.6923076923077)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:38:02.600925,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 66.6923076923077)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:38:03.950506,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 66.6923076923077)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:38:05.220261,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 66.6923076923077)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:38:06.518961,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 66.6923076923077)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:38:07.865458,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 66.6923076923077)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
05-01-2023 14:38:09.205210,"(51.0, 170.0, 134.0)","(41.0, 140.0, 109.71428571428571)","(1.65, 1.9, 1.6592592592592592)","(5.0, 13.5, 9.25)","(26.0, 75.0, 66.6923076923077)","(101.0, 220.0, 181.42857142857142)","(8.0, 15.5, 8.728571428571428)","(8.5, 15.5, 12.5)","(8.5, 22.0, 14.571428571428571)","(19.0, 55.0, 31.0)"
