,Champagne Sunday,Chikira Lass,My Zoi,Beadman,Boston Strong Boy,Share Power
12-01-2023 12:56:35.650925,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 3.992857142857143)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:36.626877,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:37.603967,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:38.586306,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:39.514651,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:40.549011,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:41.767754,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:42.843903,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:43.935932,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:44.890168,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:45.782965,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:46.922922,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
12-01-2023 12:56:47.938330,"(6.5, 10.5, 8.978260869565217)","(2.9, 4.1, 4.067391304347826)","(2.35, 2.7, 2.665714285714286)","(7.0, 9.8, 8.355555555555556)","(6.0, 7.4, 7.057142857142857)","(31.0, 55.0, 42.4)"
