,African Angel,I Came To Dance,Organized Chaos,Well See,Peach Be With Q,Queen Wiggy,Sharp Catch
15-12-2022 11:11:06.217498,"(2.8, 2.9, 2.752857142857143)","(5.5, 6.2, 5.777777777777778)","(5.0, 13.5, 8.583333333333332)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(10.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:07.598186,"(2.8, 2.92, 2.752857142857143)","(5.5, 6.2, 5.777777777777778)","(5.0, 13.5, 8.583333333333332)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(10.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:08.901945,"(2.8, 2.92, 2.752857142857143)","(5.5, 6.2, 5.777777777777778)","(5.0, 13.5, 8.583333333333332)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:10.211742,"(2.8, 2.92, 2.752857142857143)","(5.5, 6.2, 5.777777777777778)","(5.0, 13.5, 8.583333333333332)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:11.509271,"(2.8, 2.92, 2.752857142857143)","(5.5, 6.2, 5.25)","(5.0, 13.5, 8.583333333333332)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:12.939551,"(2.8, 2.92, 2.752857142857143)","(5.5, 6.2, 5.25)","(5.0, 13.5, 8.583333333333332)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:14.279391,"(2.8, 2.92, 2.752857142857143)","(5.5, 6.2, 5.25)","(5.0, 13.5, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:15.633200,"(2.8, 2.92, 2.752857142857143)","(5.5, 6.2, 5.25)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:17.054785,"(2.8, 3.35, 2.9736363636363636)","(5.5, 6.2, 5.25)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:18.323200,"(2.8, 3.35, 3.1892)","(5.5, 6.2, 5.25)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:19.574707,"(2.8, 3.25, 3.1705)","(5.5, 5.5, 4.742105263157895)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:20.635089,"(2.8, 3.25, 3.1175)","(5.5, 5.5, 4.54)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:21.729892,"(2.8, 3.25, 3.1175)","(5.5, 5.5, 4.54)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:22.861234,"(2.8, 3.25, 3.1175)","(5.5, 5.5, 4.54)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:23.965928,"(2.8, 3.25, 3.1175)","(5.5, 5.5, 4.54)","(5.0, 13.0, 8.95)","(8.0, 16.5, 15.416666666666666)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
15-12-2022 11:11:25.016403,"(2.8, 3.25, 3.1175)","(5.5, 5.5, 4.54)","(5.0, 13.0, 8.95)","(8.0, 16.5, 12.25)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(9.0, 21.0, 14.666666666666666)"
