,Whiskey Roll,Betty Quokka,Janet Rose,Springvale Chip,Little Franky,Ninetymile Bull
14-12-2022 11:54:14.073541,"(2.45, 2.74, 2.7311111111111113)","(14.0, 21.0, 19.714285714285715)","(2.6, 3.05, 3.0153846153846153)","(4.6, 5.6, 5.413333333333334)","(18.0, 30.0, 29.035714285714285)","(19.0, 30.0, 28.0)"
14-12-2022 11:54:15.015785,"(2.45, 2.76, 2.758279569892473)","(14.0, 21.0, 20.25)","(2.6, 3.05, 2.9934246575342467)","(4.6, 5.6, 5.482352941176471)","(18.0, 30.0, 29.035714285714285)","(20.0, 32.0, 27.833333333333332)"
14-12-2022 11:54:15.962275,"(2.45, 2.74, 2.738165137614679)","(14.0, 21.0, 20.153846153846153)","(2.6, 3.05, 2.9901449275362317)","(4.6, 5.6, 5.528)","(18.0, 30.0, 28.78125)","(20.0, 32.0, 27.5)"
14-12-2022 11:54:16.940505,"(2.45, 2.76, 2.754)","(14.0, 21.0, 20.0)","(2.6, 3.05, 2.9926388888888886)","(4.6, 5.6, 5.578947368421052)","(18.0, 30.0, 29.035714285714285)","(20.0, 30.0, 29.0)"
14-12-2022 11:54:17.832482,"(2.45, 2.76, 2.7537931034482757)","(14.0, 21.0, 20.0)","(2.6, 3.05, 2.989784946236559)","(4.6, 5.6, 5.578947368421052)","(18.0, 30.0, 29.035714285714285)","(20.0, 30.0, 29.0)"
14-12-2022 11:54:18.832250,"(2.45, 2.76, 2.750625)","(14.0, 21.0, 20.0)","(2.6, 3.0, 2.9793103448275864)","(4.6, 5.7, 5.671052631578948)","(18.0, 30.0, 29.035714285714285)","(20.0, 30.0, 28.5)"
14-12-2022 11:54:20.249989,"(2.45, 2.76, 2.7484615384615383)","(14.0, 20.0, 19.857142857142858)","(2.6, 3.0, 2.9941176470588236)","(4.6, 5.7, 5.3872340425531915)","(18.0, 30.0, 28.54054054054054)","(20.0, 30.0, 28.0)"
14-12-2022 11:54:21.636377,"(2.45, 2.76, 2.751333333333333)","(14.0, 20.0, 20.05263157894737)","(2.6, 3.0, 2.9860493827160495)","(4.6, 5.4, 5.4688888888888885)","(18.0, 30.0, 29.0)","(20.0, 30.0, 28.0)"
14-12-2022 11:54:22.888584,"(2.45, 2.76, 2.748148148148148)","(14.0, 21.0, 20.05263157894737)","(2.6, 3.05, 2.9860493827160495)","(4.6, 5.5, 5.465)","(18.0, 30.0, 28.666666666666668)","(20.0, 30.0, 28.0)"
14-12-2022 11:54:23.922078,"(2.45, 2.74, 2.7373214285714287)","(14.0, 21.0, 20.05263157894737)","(2.6, 3.05, 3.001315789473684)","(4.6, 5.5, 5.463157894736843)","(18.0, 32.0, 28.363636363636363)","(20.0, 30.0, 26.571428571428573)"
14-12-2022 11:54:24.936136,"(2.45, 2.74, 2.7392079207920794)","(14.0, 21.0, 20.05263157894737)","(2.6, 3.05, 2.988235294117647)","(4.6, 5.5, 5.463157894736843)","(18.0, 32.0, 28.363636363636363)","(20.0, 30.0, 26.571428571428573)"
14-12-2022 11:54:25.943410,"(2.45, 2.76, 2.752333333333333)","(14.0, 21.0, 19.57894736842105)","(2.6, 3.05, 2.989655172413793)","(4.6, 5.5, 5.430000000000001)","(18.0, 32.0, 28.363636363636363)","(20.0, 30.0, 26.19047619047619)"
14-12-2022 11:54:26.936178,"(2.45, 2.76, 2.752333333333333)","(14.0, 21.0, 19.57894736842105)","(2.6, 3.05, 2.989655172413793)","(4.6, 5.5, 5.461111111111111)","(18.0, 32.0, 28.666666666666668)","(20.0, 30.0, 26.17391304347826)"
14-12-2022 11:54:27.945046,"(2.45, 2.76, 2.754758620689655)","(14.0, 21.0, 19.866666666666667)","(2.6, 3.05, 2.989655172413793)","(4.6, 5.5, 5.461111111111111)","(18.0, 32.0, 28.363636363636363)","(20.0, 30.0, 26.17391304347826)"
14-12-2022 11:54:28.927760,"(2.45, 2.76, 2.7408333333333337)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.988235294117647)","(4.6, 5.5, 5.461111111111111)","(18.0, 32.0, 28.363636363636363)","(20.0, 30.0, 26.17391304347826)"
14-12-2022 11:54:29.853495,"(2.45, 2.76, 2.7537414965986393)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.988235294117647)","(4.6, 5.5, 5.461111111111111)","(18.0, 32.0, 28.363636363636363)","(20.0, 30.0, 26.17391304347826)"
14-12-2022 11:54:30.892350,"(2.45, 2.76, 2.7543262411347516)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.9910112359550562)","(4.6, 5.6, 5.516666666666667)","(18.0, 32.0, 28.666666666666668)","(20.0, 30.0, 26.17391304347826)"
14-12-2022 11:54:31.807737,"(2.45, 2.76, 2.7545714285714284)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.9899999999999998)","(4.6, 5.6, 5.504761904761905)","(18.0, 32.0, 28.666666666666668)","(20.0, 30.0, 26.17391304347826)"
14-12-2022 11:54:32.703342,"(2.45, 2.76, 2.74735632183908)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.994134615384615)","(4.6, 5.6, 5.44)","(18.0, 30.0, 28.666666666666668)","(20.0, 29.0, 26.75)"
14-12-2022 11:54:33.575334,"(2.45, 2.76, 2.7477094972067038)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.997181818181818)","(4.6, 5.6, 5.466666666666667)","(18.0, 30.0, 28.22222222222222)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:34.446822,"(2.45, 2.76, 2.7475)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.9756880733944953)","(4.6, 5.6, 5.494736842105263)","(18.0, 30.0, 28.666666666666668)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:35.345867,"(2.45, 2.76, 2.7471345029239767)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.9839772727272726)","(4.6, 5.6, 5.514285714285714)","(18.0, 30.0, 28.22222222222222)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:36.279455,"(2.45, 2.76, 2.7476190476190476)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.979528301886792)","(4.6, 5.6, 5.527586206896552)","(18.0, 32.0, 30.5)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:37.172927,"(2.45, 2.74, 2.731666666666667)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.979528301886792)","(4.6, 5.6, 5.504545454545455)","(18.0, 34.0, 29.3125)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:38.284879,"(2.45, 2.74, 2.7319148936170214)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.984022988505747)","(4.6, 5.6, 5.504545454545455)","(18.0, 34.0, 29.3125)","(20.0, 28.0, 27.0)"
14-12-2022 11:54:39.177638,"(2.45, 2.74, 2.7319148936170214)","(14.0, 21.0, 19.838709677419356)","(2.6, 3.05, 2.984022988505747)","(4.6, 5.6, 5.504545454545455)","(18.0, 34.0, 29.3125)","(20.0, 28.0, 27.0)"
