,Green And Shady,Magical Gem,The Admiral,Midnight Mystery,Ninetyone Dwyer,Zac Luvs To Fly,Rocky Path,Wunderkind,Red Cadillac
11-01-2023 17:50:00.057641,"(12.0, 15.5, 13.166666666666666)","(16.0, 19.5, 18.75)","(4.0, 4.9, 4.733333333333333)","(12.0, 22.0, 15.0)","(3.2, 4.0, 3.7142857142857144)","(8.5, 13.5, 12.2)","(26.0, 42.0, 35.0)","(4.8, 5.9, 5.36)","(10.0, 15.0, 13.2)"
11-01-2023 17:50:01.259240,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 15.0)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 42.0, 35.0)","(4.8, 5.9, 5.36)","(10.0, 15.0, 13.457142857142857)"
11-01-2023 17:50:02.581019,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 42.0, 33.333333333333336)","(4.8, 5.9, 5.8500000000000005)","(10.0, 15.0, 13.457142857142857)"
11-01-2023 17:50:03.808986,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 13.457142857142857)"
11-01-2023 17:50:05.134830,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:06.668000,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:07.938977,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:09.420177,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:10.699065,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:11.966422,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:13.300134,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:14.642128,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 19.725)","(3.2, 3.95, 3.7055555555555557)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:15.863834,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 17.57142857142857)","(3.2, 3.95, 3.65)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
11-01-2023 17:50:16.995395,"(12.0, 15.5, 13.166666666666666)","(16.0, 21.0, 18.75)","(4.0, 4.9, 4.784615384615385)","(12.0, 21.0, 17.57142857142857)","(3.2, 3.9, 3.65)","(8.5, 13.5, 12.2)","(26.0, 44.0, 33.333333333333336)","(4.8, 5.9, 5.848936170212767)","(10.0, 15.0, 12.4)"
