,Fighting Boxer,Zoha Bale,Arbys Lucy,Ten Dollar Slaps,Earthworm Jim,Gucci Girl,Nana Judy,Poppys Pride
07-12-2022 20:02:18.436061,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:19.734704,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:21.076405,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:22.323054,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:23.637289,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:24.982515,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:26.221366,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:27.489241,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:28.712333,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:29.744363,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:31.032411,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:32.258068,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
07-12-2022 20:02:33.534440,"(16.0, 50.0, 39.55882352941177)","(1.75, 2.5, 1.9)","(81.0, 610.0, 340.0)","(8.0, 16.5, 9.042857142857143)","(2.6, 4.3, 3.471764705882353)","(15.0, 40.0, 33.125)","(91.0, 650.0, 556.6666666666666)","(11.0, 28.0, 22.588235294117645)"
