,Opawa Kyle,Opawa Warrior,Zipping Chassis,Nighthawk Jet,Diamond Alex,Iced Mocha,Know Grizzles,Diamond Neena
08-12-2022 13:19:20.338366,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:21.648873,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:22.969238,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:24.296318,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:25.567062,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:26.861795,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:28.167334,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:29.516510,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:30.892324,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:32.161446,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:33.381850,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:34.647984,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
08-12-2022 13:19:35.895727,"(6.5, 12.5, 10.953846153846154)","(2.0, 2.58, 2.3866666666666667)","(3.0, 9.0, 5.529411764705882)","(12.0, 38.0, 34.888888888888886)","(10.0, 22.0, 20.709090909090907)","(21.0, 240.0, 98.57142857142857)","(26.0, 290.0, 157.0)","(17.0, 95.0, 81.58333333333333)"
