,Klimt Ride,Cherrys Cross,Sloe Gin Biz,Smoozer,Plunk,Sparkling Shire,Shea D Capture,Red Devolution,Cryptic Code
05-01-2023 12:46:05.682412,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.9326315789473685)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 8.028571428571428)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:07.257057,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.939047619047619)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:08.716852,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.939047619047619)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:10.132472,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.939047619047619)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:11.464063,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:12.953738,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:14.367313,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:15.950589,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:17.428627,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
05-01-2023 12:46:18.934653,"(19.0, 85.0, 31.375)","(12.0, 230.0, 120.75)","(6.0, 19.5, 17.55)","(7.0, 13.0, 11.11111111111111)","(2.3, 3.0, 2.928888888888889)","(12.0, 29.0, 17.333333333333332)","(5.5, 9.6, 5.359999999999999)","(7.0, 14.0, 12.857142857142858)","(11.0, 34.0, 16.75)"
