,Acromantula,Beads,Moi Choux,Bitofmerit,Capital Flight,Deep Dive,Pink Carats,Premium Choice
07-01-2023 16:06:02.427265,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.5, 12.333333333333334)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:03.677798,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:04.996323,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:06.246256,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:07.437599,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:08.728366,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:09.929641,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:11.143526,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:12.301070,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:13.514910,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.53333333333333)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:14.774599,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.166666666666664)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:16.024442,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.538461538461538)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.090909090909091)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.166666666666664)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:17.360787,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.28)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.32)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.166666666666664)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:18.580990,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.44)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.32)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 28.166666666666664)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:19.912441,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.44)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.32)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 24.5)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:21.541685,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.835294117647059)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.32)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 24.5)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:22.749060,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.835294117647059)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.32)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 24.5)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:23.940378,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.835294117647059)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.32)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 24.5)","(11.0, 15.5, 13.5)"
07-01-2023 16:06:25.106163,"(4.8, 5.8, 5.727272727272727)","(6.0, 8.4, 7.835294117647059)","(11.0, 14.0, 13.893617021276595)","(2.6, 2.92, 2.91)","(6.0, 8.4, 7.32)","(17.0, 22.0, 20.055555555555557)","(16.0, 30.0, 27.555555555555557)","(11.0, 15.5, 13.5)"
