,Skedaddle Shelly,Always Done,Black Redeemer,Valencia Bale,Winry Bale,Revolver Twist,Tick It Off,Kick It Home
0,"[datetime.datetime(2022, 11, 28, 18, 4, 27, 844761), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 27, 844761), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 27, 844761), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 27, 844761), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 27, 844761), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 27, 844761), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 27, 844761), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 27, 844761), 4.4, 8.2]"
1,"[datetime.datetime(2022, 11, 28, 18, 4, 29, 18496), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 18496), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 18496), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 18496), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 18496), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 18496), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 18496), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 18496), 4.4, 8.2]"
2,"[datetime.datetime(2022, 11, 28, 18, 4, 30, 223442), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 223442), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 223442), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 223442), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 223442), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 223442), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 223442), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 223442), 4.4, 8.2]"
3,"[datetime.datetime(2022, 11, 28, 18, 4, 31, 417758), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 417758), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 417758), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 417758), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 417758), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 417758), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 417758), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 417758), 4.4, 8.2]"
4,"[datetime.datetime(2022, 11, 28, 18, 4, 32, 588948), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 588948), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 588948), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 588948), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 588948), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 588948), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 588948), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 588948), 4.4, 8.2]"
5,"[datetime.datetime(2022, 11, 28, 18, 4, 33, 805978), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 805978), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 805978), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 805978), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 805978), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 805978), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 805978), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 805978), 4.4, 8.2]"
6,"[datetime.datetime(2022, 11, 28, 18, 4, 34, 976045), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 34, 976045), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 34, 976045), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 34, 976045), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 34, 976045), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 34, 976045), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 34, 976045), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 34, 976045), 4.4, 8.2]"
7,"[datetime.datetime(2022, 11, 28, 18, 4, 36, 183452), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 36, 183452), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 36, 183452), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 36, 183452), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 36, 183452), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 36, 183452), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 36, 183452), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 36, 183452), 4.4, 8.2]"
8,"[datetime.datetime(2022, 11, 28, 18, 4, 37, 365515), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 37, 365515), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 37, 365515), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 37, 365515), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 37, 365515), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 37, 365515), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 37, 365515), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 37, 365515), 4.4, 8.2]"
9,"[datetime.datetime(2022, 11, 28, 18, 4, 38, 556514), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 38, 556514), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 38, 556514), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 38, 556514), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 38, 556514), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 38, 556514), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 38, 556514), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 38, 556514), 4.4, 8.2]"
10,"[datetime.datetime(2022, 11, 28, 18, 4, 39, 724869), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 18, 4, 39, 724869), 2.05, 2.5]","[datetime.datetime(2022, 11, 28, 18, 4, 39, 724869), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 39, 724869), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 39, 724869), 19.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 4, 39, 724869), 6.5, 12.5]","[datetime.datetime(2022, 11, 28, 18, 4, 39, 724869), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 4, 39, 724869), 4.4, 8.2]"
