,Toms The One,Ravioli,Senorita Bonita,Sketchy Comrade,Greek Inquisitor,Lenny Boy,Mazy Girl,Perpetual
15-12-2022 13:58:23.740698,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:24.786446,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:25.892098,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:27.046956,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:28.264240,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:29.380245,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:30.446715,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:31.465201,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:32.499953,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:33.660937,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:34.746099,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:36.077764,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:37.146089,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:38.229756,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:39.456967,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:40.547431,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:41.548060,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:42.651421,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:43.789246,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:44.888867,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:45.979867,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
15-12-2022 13:58:47.134144,"(2.7, 3.4, 2.891764705882353)","(3.8, 6.8, 4.590909090909091)","(3.9, 7.6, 5.847368421052631)","(10.0, 24.0, 13.5)","(41.0, 280.0, 123.14285714285714)","(41.0, 380.0, 142.8235294117647)","(7.5, 14.0, 12.125)","(6.5, 13.0, 11.0)"
