,Frosty Girl,Purple Flirt,Chidobe,Cracking Force,Winlock Lloyd,Authority,Starlight Blaze,Rubys Me Mum
04-01-2023 15:37:25.009855,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:26.272640,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:27.519873,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:28.721574,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:29.909289,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:31.116190,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:32.178793,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:33.296195,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:34.509578,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:35.681758,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:36.863427,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:38.120808,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:39.387451,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
04-01-2023 15:37:40.565063,"(6.5, 14.5, 12.31923076923077)","(5.5, 12.5, 10.85)","(8.0, 15.0, 14.177777777777777)","(2.5, 3.75, 2.517352941176471)","(7.0, 13.5, 10.891304347826086)","(11.0, 42.0, 30.375)","(91.0, 500.0, 141.66666666666669)","(4.4, 6.6, 5.359574468085106)"
